card_badge,card_label,card_definition,reference_index,reference_title_html,reference_title_full,reference_url,reference_year,reference_venue,justification,card_direct_terms,direct_term_hits,direct_terms_hit,card_tags,reference_tags,tag_overlap_count,tag_overlap,ref_title_word_overlap,title_words_hit,suspicious_domain_hit,metadata_source,severity
PHYSBENCH-REF-0017,LLM Agent 탈옥 (Embodied LLM contextual jailbreak),공격자가 피지컬 작업 맥락으로 프레임을 구성하여 embodied LLM 에이전트가 안전 제한을 우회하고 악의적 피지컬 행동을 수용하도록 유도하는 위험. (An attacker frames a physical task context so an embodied LLM agent bypasses safety restrictions and accepts malicious physical action instructions.),1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"악성 지시를 피지컬 과업처럼 꾸미면 로봇이 안전 차단을 뚫고 위험 행동을 할 수 있다 (Zhang et al., 2024)",contextual;jailbreak,1,jailbreak,llm_jailbreak;security,llm_jailbreak,1,llm_jailbreak,1,llm,,,ok
PHYSBENCH-REF-0017,LLM Agent 탈옥 (Embodied LLM contextual jailbreak),공격자가 피지컬 작업 맥락으로 프레임을 구성하여 embodied LLM 에이전트가 안전 제한을 우회하고 악의적 피지컬 행동을 수용하도록 유도하는 위험. (An attacker frames a physical task context so an embodied LLM agent bypasses safety restrictions and accepts malicious physical action instructions.),2,A white-box prompt injection attack on emb… (2026),A white-box prompt injection attack on embodied AI agents driven by large language models,https://doi.org/10.1016/j.jss.2026.112782,2026,JOURNAL OF SYSTEMS AND SOFTWARE,"프롬프트 주입이 embodied 시스템의 행동 제어를 흔들 수 있음을 보여준다 (A white-box prompt injection attack on emb…, 2026)",contextual;jailbreak,1,contextual,llm_jailbreak;security,cps;drone;llm_jailbreak;security;uncertainty;vehicle,2,llm_jailbreak;security,0,,,/Users/deep1003/data3/webofscience_ai_global_export/bibtex/physical_ai_risk_cards_20260623/physical_ai_academic_references_20260623.csv,ok
PHYSBENCH-REF-0017,LLM Agent 탈옥 (Embodied LLM contextual jailbreak),공격자가 피지컬 작업 맥락으로 프레임을 구성하여 embodied LLM 에이전트가 안전 제한을 우회하고 악의적 피지컬 행동을 수용하도록 유도하는 위험. (An attacker frames a physical task context so an embodied LLM agent bypasses safety restrictions and accepts malicious physical action instructions.),3,LLM Physical Safety Benchmark – Drone (TrustSafeAI…,LLM Physical Safety Benchmark – Drone (TrustSafeAI…,https://huggingface.co/datasets/TrustSafeAI/llm_physical_safety_benchmark,,,"LLM 물리 제어(드론) 탈옥 취약성 평가, 4종 데이터셋으로 안전 거부 측정 (LLM Physical Safety Benchmark, HF)",contextual;jailbreak,0,,llm_jailbreak;security,drone;ethics;llm_jailbreak,1,llm_jailbreak,1,llm,,,medium
PHYSBENCH-REF-0018,언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),피지컬하게 유해한 지시를 언어적으로 재구성하여 모델이 비안전한 피지컬 세계 행동을 무해한 작업으로 처리하도록 유도하는 위험. (A physically harmful instruction is linguistically reframed so the model treats unsafe real-world action as benign or task-compliant.),1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"위험한 행동도 말만 바꾸면 로봇이 안전한 작업으로 착각할 수 있다 (Zhang et al., 2024)",linguistic;misalignment,0,,force,llm_jailbreak,0,,0,,,,high
PHYSBENCH-REF-0019,물리적 행동 기만 (Conceptual deception in physical action),"공격자가 간접 개념·대체 표현·완곡어법을 사용하여 로봇 또는 embodied 에이전트가 유해한 피지컬 행동을 수행하도록 유도하는 위험. (The attacker uses indirect concepts, substitutions, or euphemisms to induce a robot or embodied agent to perform a harmful physical action.)",1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"위험한 대상을 다른 말로 숨기면 로봇이 해로운 피지컬 행동을 그대로 실행할 수 있다 (Zhang et al., 2024)",conceptual;deception,0,,security,llm_jailbreak,0,,1,in,,,high
PHYSBENCH-REF-0020,악의적 행동 요청 (Malicious physical action query execution),"embodied LLM 에이전트가 피지컬 위해·프라이버시 침해·파괴·사기 등을 요청하는 사용자 쿼리를 수용하고 실행하는 위험. (An embodied LLM agent accepts and executes a user query that requests physical harm, privacy violation, sabotage, fraud, illegal activity, or hateful conduct.)",1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"악성 요청이 그대로 실행되면 로봇이 폭력, 절도, 파괴 같은 행동을 할 수 있다 (Zhang et al., 2024)",malicious,0,,llm_jailbreak;privacy,llm_jailbreak,1,llm_jailbreak,0,,,,medium
PHYSBENCH-REF-0022,피지컬 AI 파괴 행위 (Embodied sabotage),"피지컬 AI 시스템이 장비·인프라 또는 다른 피지컬 시스템을 손상·무력화·방해·변조하도록 유도되는 위험. (A physical AI system is induced to damage, disable, obstruct, or tamper with equipment, infrastructure, or other physical assets.)",1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"로봇이 장비나 시설을 망가뜨리도록 유도되면 피지컬 피해가 바로 생긴다 (Zhang et al., 2024)",sabotage,0,,,llm_jailbreak,0,,0,,,,high
PHYSBENCH-REF-0023,사기·불법 실행 및 지원 (Embodied fraud or illegal-action execution),"embodied 에이전트가 사기·절도·침입·탈세 등 불법 물리 행위를 수행하거나 실질적으로 지원하는 위험. (An embodied agent carries out or materially assists fraud, theft, trespass, evasion, or other illegal physical-world actions.)",1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"로봇이 사기, 절도, 무단 침입 같은 불법 행동의 실행 도구가 될 수 있다 (Zhang et al., 2024)",fraud;illegal,0,,,llm_jailbreak,0,,0,,,,high
PHYSBENCH-REF-0024,피지컬 AI의 혐오·학대 행동 (Hateful or abusive embodied action),"피지컬 AI 시스템이 사람들을 향한 차별적·괴롭힘·위협·학대적 행동을 수행하도록 유도되는 위험. (A physical AI system is directed to perform discriminatory, harassing, intimidating, or abusive actions toward people in shared environments.)",1,BadRobot: Jailbreaking Embodied LLM Agents in the …,BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242,,,"로봇이 사람을 향해 차별적이거나 위협적인 행동을 직접 수행할 수 있다 (Zhang et al., 2024)",abusive;hateful,0,,,llm_jailbreak,0,,0,,,,high
PHYSBENCH-REF-0044,언어 명령 기반 로봇 정책 공격 (Language-instruction attack on robot policy),"악의적 언어 지시·접미사·프롬프트가 의도된 로봇 정책을 변경하여 비안전 피지컬 행동을 유발하는 위험. (Malicious language instructions, suffixes, or prompts alter the intended robot policy and induce unsafe physical behavior.)",1,A Comprehensive Survey on Physical Risk Control in…,A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf,,,"악성 언어 명령이 로봇 정책을 바꾸면 안전하지 않은 행동이 실행될 수 있다 (Kojima et al., 2025)",attack;instruction;language,0,,security,,0,,1,on,,,high
