"section","respondent_id","assignment_block","display_id","card_id","candidate_a","candidate_b","reference_assignment","original_selected_l3","confidence","comment","original_confidence","revised_selected_l3","changed"
"original","R-a027ac600680","A08","V019","PHYSBENCH-REF-0081","P3.2","P3.1","P3.1","P3.2","4","","","",""
"original","R-a027ac600680","A08","V005","PHYSBENCH-REF-0035","P3.2","P3.1","P3.1","P3.1","4","","","",""
"original","R-a027ac600680","A08","V083","PHYSBENCH-REF-0059","P3.5","P3.1","P3.5","P3.5","5","","","",""
"original","R-a027ac600680","A08","V057","PHYSRISK-REF-0012","P3.1","P3.2","P3.2","P3.2","4","","","",""
"original","R-a027ac600680","A08","V107","PHYSRISK-REF-0046","I3.1","I3.2","I3.1","I3.1","2","설명된 시나리오는 고의적·악의적 이용으로 판단하기에는 침입자가 없으며, 로봇에 대한 물리적 공격은 목적어가 상이하기 때문에 적합하지 않습니다. 다른 선택 옵션이 필요합니다.","","",""
"original","R-a027ac600680","A08","V151","PHYSRISK-REF-0039","I3.9","I3.7","I3.9","I3.7","2","시나리오에서 autonomous drones 간 협업이 있었다면 '여러 로봇의 협력 실패'가 더 적합하며, 시나리오에서 사람이 아닌 물체들과의 충돌 내용 때문에 '사람과 함께 일할 때의 안전 실패'가 부적절해보입니다.","","",""
"original","R-a027ac600680","A08","V129","PHYSRISK-REF-0003","I3.6","I3.9","I3.6","I3.6","2","sensor fusion 주체가 누구인가에 대한 검토가 필요합니다. sensor fusion을 하는 주체가 하나의 agent 라면 '변화하는 환경에 대한 대응 실패'가 적합하며, 다양한 agent들로부터 주변 상황 정보를 취합하는 형태라면 '여러 로봇의 협력 실패'가 더 적합합니다.","","",""
"original","R-a027ac600680","A08","V086","PHYSBENCH-REF-0086","P3.5","P3.2","P3.5","P3.5","4","","","",""
"original","R-a027ac600680","A08","V023","PHYSBENCH-REF-0005","P3.1","P3.2","P3.2","P3.2","4","","","",""
"original","R-a027ac600680","A08","V158","PHYSBENCH-REF-0021","S3.1","S3.7","S3.1","S3.1","3","","","",""
"original","R-a027ac600680","A08","V074","PHYSCONN-REF-006","P3.3","P3.4","P3.4","P3.4","4","","","",""
"original","R-a027ac600680","A08","V126","PHYSBENCH-REF-0063","I3.9","I3.6","I3.6","I3.9","2","sensor fusion 주체에 대한 정보가 부족합니다. 전체 시스템 구조에 대한 이해가 바탕이 되어야 선택 가능합니다. 센서 정보를 다양한 agent로부터 얻는다면 여러 로봇의 협력 실패가 적합하며, 하나의 agent가 sensor fusion을 한다면 변화하는 환경에 대한 대응 실패, 또는 소프트웨어 설계 결함 등이 더 적합합니다.","","",""
"original","R-a027ac600680","A08","V060","PHYSCONN-REF-001","P3.1","P3.2","P3.2","P3.2","4","","","",""
"original","R-a027ac600680","A08","V016","PHYSBENCH-REF-0071","P3.1","P3.5","P3.1","P3.5","4","","","",""
"original","R-a027ac600680","A08","V122","PHYSRISK-REF-0017","I3.5","I3.8","I3.5","I3.5","4","","","",""
"original","R-a027ac600680","A08","V164","PHYSRISK-REF-0051","S3.3","S3.5","S3.5","S3.5","5","","","",""
"original","R-a027ac600680","A08","V114","PHYSBENCH-REF-0002","I3.4","I3.6","I3.4","I3.4","4","","","",""
"original","R-a027ac600680","A08","V040","PHYSBENCH-REF-0061","P3.1","P3.2","P3.2","P3.2","1","","","",""
"original","R-a027ac600680","A08","V135","PHYSBENCH-REF-0004","I3.7","I3.10","I3.7","I3.7","4","","","",""
"original","R-a027ac600680","A08","V112","PHYSRISK-REF-0031","I3.2","I3.3","I3.3","I3.2","3","","","",""
"original","R-a027ac600680","A08","V175","PHYSKR-REF-017","S3.9","S3.6","S3.6","S3.9","2","","","",""
"original","R-a027ac600680","A08","V165","PHYSBENCH-REF-0037","S3.6","S3.9","S3.6","S3.6","3","","","",""
"original","R-a027ac600680","A08","V059","PHYSRISK-REF-0014","P3.2","P3.1","P3.2","P3.2","4","","","",""
"original","R-a027ac600680","A08","V109","PHYSRISK-REF-0044","I3.2","I3.3","I3.2","I3.2","1","","","",""
"original","R-a027ac600680","A08","V092","PHYSBENCH-REF-0017","I3.1","I3.3","I3.1","I3.1","4","","","",""
"original","R-a027ac600680","A08","V027","PHYSBENCH-REF-0010","P3.3","P3.2","P3.2","P3.2","3","","","",""
"original","R-a027ac600680","A08","V145","PHYSRISK-REF-0042","I3.7","I3.8","I3.7","I3.7","4","","","",""
"original","R-a027ac600680","A08","V022","PHYSBENCH-REF-0040","P3.1","P3.4","P3.1","P3.1","3","","","",""
"original","R-a027ac600680","A08","V050","PHYSBENCH-REF-0104","P3.2","P3.3","P3.2","P3.2","4","","","",""
"original","R-a027ac600680","A08","V177","PHYSRISK-REF-0048","S3.1","S3.7","S3.7","S3.7","1","","","",""
"reconsideration","R-a027ac600680","A08","V016","PHYSBENCH-REF-0071","","","P3.1","P3.5","","","4","P3.5","no"
"reconsideration","R-a027ac600680","A08","V019","PHYSBENCH-REF-0081","","","P3.1","P3.2","","","4","P3.2","no"
"reconsideration","R-a027ac600680","A08","V112","PHYSRISK-REF-0031","","","I3.3","I3.2","","","3","I3.2","no"
