rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
1,,2024,Deep learning for unmanned aerial vehicles detection: A review,"As a new type of aerial robotics, drones are easy to use and
   inexpensive, which has facilitated their acquisition by individuals and
   organizations. This unequivocal and widespread presence of amateur
   drones may cause many dangers, such as privacy breaches by reaching
   sensitive locations of authorities and individuals. In this paper, we
   summarize the performance-affecting factors and major obstacles to drone
   use and provide a brief background of deep learning. Then, we summarize
   the types of UAVs and the related unethical behaviors, safety, privacy,
   and cybersecurity concerns. Then, we present a comprehensive literature
   review of current drone detection methods based on deep learning. This
   area of research has arisen in the last two decades because of the rapid
   advancement of commercial and recreational drones and their combined
   risk to the safety of airspace. Various deep learning algorithms and
   their frameworks with respect to the techniques used to detect drones
   and their areas of applications are also discussed. Drone detection
   techniques are classified into four categories: visual, radar,
   acoustics, and radio frequency-based approaches. The findings of this
   study prove that deep learning-based detection and classification of
   drones looks promising despite several challenges. Finally, we provide
   some recommendations to meet future expectations.",COMPUTER SCIENCE REVIEW,,Review,10.1016/j.cosrev.2023.100614,,,,"Al-lQubaydhi, Nader and Alenezi, Abdulrahman and Alanazi, Turki and
   Senyor, Abdulrahman and Alanezi, Naif and Alotaibi, Bandar and Alotaibi,
   Munif and Razaque, Abdul and Hariri, Salim",,117.0,WOS:001152289700001,,,paper,deep learning for unmanned aerial vehicles detection a review,10.1016/j.cosrev.2023.100614,https://doi.org/10.1016/j.cosrev.2023.100614,https://doi.org/10.1016/j.cosrev.2023.100614,221.79,citations=117; year=2024; risk_terms=6; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.cosrev.2023.100614,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1574013723000813,text/html;charset=UTF-8,
2,,2024,Artificial intelligence and IoT driven technologies for environmental pollution monitoring and management,"Detecting hazardous substances in the environment is crucial for protecting human wellbeing and ecosystems. As technology continues to advance, artificial intelligence (AI) has emerged as a promising tool for creating sensors that can effectively detect and analyze these hazardous substances. The increasing advancements in information technology have led to a growing interest in utilizing this technology for environmental pollution detection. AI-driven sensor systems, AI and Internet of Things (IoT) can be efficiently used for environmental monitoring, such as those for detecting air pollutants, water contaminants, and soil toxins. With the increasing concerns about the detrimental impact of legacy and emerging hazardous substances on ecosystems and human health, it is necessary to develop advanced monitoring systems that can efficiently detect, analyze, and respond to potential risks. Therefore, this review aims to explore recent advancements in using AI, sensors and IOTs for environmental pollution monitoring, taking into account the complexities of predicting and tracking pollution changes due to the dynamic nature of the environment. Integrating machine learning (ML) methods has the potential to revolutionize environmental science, but it also poses challenges. Important considerations include balancing model performance and interpretability, understanding ML model requirements, selecting appropriate models, and addressing concerns related to data sharing. Through examining these issues, this study seeks to highlight the latest trends in leveraging AI and IOT for environmental pollution monitoring.",Frontiers in Environmental Science,Frontiers Media,article,10.3389/fenvs.2024.1336088,https://openalex.org/W4391968719,https://doi.org/10.3389/fenvs.2024.1336088,,"['Simona Mariana Popescu', 'Sheikh Mansoor', 'Owais Ali Wani', 'Shamal Shasang Kumar', 'Vikas Sharma', 'Arpita Sharma', 'Vivak M. Arya', 'M.B. Kirkham', 'Deyi Hou', 'Nanthi Bolan', 'Yong Suk Chung']",Simona Mariana Popescu,258.0,https://openalex.org/W4391968719,physical | sensor,,paper,artificial intelligence and iot driven technologies for environmental pollution monitoring and management,10.3389/fenvs.2024.1336088,https://doi.org/10.3389/fenvs.2024.1336088,https://doi.org/10.3389/fenvs.2024.1336088,197.796,citations=258; year=2024; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fenvs.2024.1336088,True,200.0,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2024.1336088/full,text/html;charset=utf-8,
3,,2024,Artificial Intelligence for Trusted Autonomous Satellite Operations,"Recent advances in Artificial Intelligence (AI) and Cyber-Physical
   Systems (CPS) for aerospace applications have brought about new
   opportunities for the fast-growing satellite industry. The progressive
   introduction of connected satellite systems and associated mission
   concepts is stimulating the development of intelligent CPS (iCPS)
   architectures, which can support high levels of flexibility and
   resilience in an increasingly congested near-Earth space environment.
   The need for higher levels of automation and autonomy in satellite
   operations has stimulated numerous research initiatives in recent years,
   focusing on the progressive enhancement of systemic performance (e.g.,
   addressing safety, integrity and cyber-physical security metrics) and
   associated monitoring/augmentation approaches that can support Trusted
   Autonomous Satellite Operations (TASO). Despite these advances, in most
   contemporary satellite platforms, autonomy is restricted to a specific
   set of rules and cases, while the transition to TASO requires a paradigm
   shift in the design of both space vehicles and ground-based systems. In
   particular, the use of AI is seen as an essential enabler for TASO as it
   enhances system performance/adaptability and supports both predictive
   and reactive integrity augmentation capabilities, especially in
   Distributed Satellite Systems (DSS). This article provides a critical
   review of AI for satellite operations, with a special focus on current
   and likely future DSS architectures for communication, navigation and
   remote sensing missions. The aim is to identify key contemporary
   challenges and opportunities associated with space iCPS design
   methodologies to enhance the performance and resilience of satellite
   systems, supporting the progressive transition to TASO. A comprehensive
   review of relevant AI techniques is presented to critically assess the
   potential benefits and challenges of each method for different space
   applications. After describing the specificities of DSS and the
   opportunities offered by iCPS architectures, the co-evolution of space
   and control (ground and on-board) segments is highlighted as an
   essential next step towards enabling TASO. As an integral part of this
   evolutionary approach, the most important legal and regulatory
   challenges associated with the adoption of AI in TASO are also
   discussed.",PROGRESS IN AEROSPACE SCIENCES,,Review,10.1016/j.paerosci.2023.100960,,,,"Thangavel, Kathiravan and Sabatini, Roberto and Gardi, Alessandro and
   Ranasinghe, Kavindu and Hilton, Samuel and Servidia, Pablo and Spiller,
   Dario",,57.0,WOS:001161543400001,,,paper,artificial intelligence for trusted autonomous satellite operations,10.1016/j.paerosci.2023.100960,https://doi.org/10.1016/j.paerosci.2023.100960,https://doi.org/10.1016/j.paerosci.2023.100960,196.846,citations=57; year=2024; risk_terms=4; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.paerosci.2023.100960,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S0376042123000763,text/html;charset=UTF-8,
4,,2019,XAI—Explainable artificial intelligence,"Explainability is essential for users to effectively understand, trust, and manage powerful artificial intelligence applications.",Science Robotics,American Association for the Advancement of Science,review,10.1126/scirobotics.aay7120,https://openalex.org/W2995523160,https://doi.org/10.1126/scirobotics.aay7120,,"['David Gunning', 'Mark Stefik', 'Jaesik Choi', 'Tim Miller', 'Simone Stumpf', 'Guang‐Zhong Yang']",David Gunning,1879.0,https://openalex.org/W2995523160,robot | robotic | robotics,,paper,xai explainable artificial intelligence,10.1126/scirobotics.aay7120,https://doi.org/10.1126/scirobotics.aay7120,https://doi.org/10.1126/scirobotics.aay7120,195.546,citations=1879; year=2019; risk_terms=2; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1126/scirobotics.aay7120,True,200.0,https://www.science.org/doi/10.1126/scirobotics.aay7120,text/html;charset=UTF-8,
5,,2024,"The IDEAL framework for surgical robotics: development, comparative
   evaluation and long-term monitoring","The next generation of surgical robotics is poised to disrupt healthcare
   systems worldwide, requiring new frameworks for evaluation. However,
   evaluation during a surgical robot's development is challenging due to
   their complex evolving nature, potential for wider system disruption and
   integration with complementary technologies like artificial
   intelligence. Comparative clinical studies require attention to
   intervention context, learning curves and standardized outcomes.
   Long-term monitoring needs to transition toward collaborative,
   transparent and inclusive consortiums for real-world data collection.
   Here, the Idea, Development, Exploration, Assessment and Long-term
   monitoring (IDEAL) Robotics Colloquium proposes recommendations for
   evaluation during development, comparative study and clinical monitoring
   of surgical robots-providing practical recommendations for developers,
   clinicians, patients and healthcare systems. Multiple perspectives are
   considered, including economics, surgical training, human factors,
   ethics, patient perspectives and sustainability. Further work is needed
   on standardized metrics, health economic assessment models and global
   applicability of recommendations.",NATURE MEDICINE,,Article,10.1038/s41591-023-02732-7,,,,"Marcus, Hani J. and Ramirez, Pedro T. and Khan, Danyal Z. and Horsfall,
   Hugo Layard and Hanrahan, John G. and Williams, Simon C. and Beard,
   David J. and Bhat, Rani and Catchpole, Ken and Cook, Andrew and
   Hutchison, Katrina and Martin, Janet and Melvin, Tom and Stoyanov,
   Danail and Rovers, Maroeska and Raison, Nicholas and Dasgupta, Prokar
   and Noonan, David and Stocken, Deborah and Sturt, Georgia and
   Vanhoestenberghe, Anne and Vasey, Baptiste and McCulloch, Peter and
   Ideal Robotics Colloquium",,105.0,WOS:001145950000003,,,paper,the ideal framework for surgical robotics development comparative evaluation and long term monitoring,10.1038/s41591-023-02732-7,https://doi.org/10.1038/s41591-023-02732-7,https://doi.org/10.1038/s41591-023-02732-7,195.288,citations=105; year=2024; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1038/s41591-023-02732-7,True,200.0,https://www.nature.com/articles/s41591-023-02732-7,"text/html; charset=""UTF-8""",
6,,2024,"The Medicine Revolution Through Artificial Intelligence: Ethical
   Challenges of Machine Learning Algorithms in Decision-Making","The integration of artificial intelligence (AI) and its autonomous
   learning processes (or machine learning) in medicine has revolutionized
   the global health landscape, providing faster and more accurate
   diagnoses, personalization of medical treatment, and efficient
   management of clinical information. However, this transformation is not
   without ethical challenges, which require a comprehensive and
   responsible approach. There are many fields where AI and medicine
   intersect, such as health education, patient-doctor interface, data
   management, diagnosis, intervention, and decision-making processes. For
   some of these fields, there are some guidelines to regulate them. AI has
   numerous applications in medicine, including medical imaging analysis,
   diagnosis, predictive analytics for patient outcomes, drug discovery and
   development, virtual health assistants, and remote patient monitoring.
   It is also used in robotic surgery, clinical decision support systems,
   AI-powered chatbots for triage, administrative workflow automation, and
   treatment recommendations. Despite numerous applications, there are
   several problems related to the use of AI identified in the literature
   in general and in medicine in particular. These problems are data
   privacy and security, bias and discrimination, lack of transparency
   (Black Box Problem), integration with existing systems, cost and
   accessibility disparities, risk of overconfidence in AI, technical
   limitations, accountability for AI errors, algorithmic interpretability,
   data standardization issues, unemployment, and challenges in clinical
   validation. Of the various problems already identified, the most
   worrying are data bias, the black box phenomenon, questions about data
   privacy, responsibility for decision-making, security issues for the
   human species, and technological unemployment. There are still several
   ethical problems associated with the use of AI autonomous learning
   algorithms, namely epistemic, normative, and comprehensive ethical
   problems (overarching). Addressing all these issues is crucial to ensure
   that the use of AI in healthcare is implemented ethically and
   responsibly, providing benefits to populations without compromising
   fundamental values. Ongoing dialogue between healthcare providers and
   the industry, the establishment of ethical guidelines and regulations,
   and considering not only current ethical dilemmas but also future
   perspectives are fundamental points for the application of AI to medical
   practice. The purpose of this review is to discuss the ethical issues of
   AI algorithms used mainly in data management, diagnosis, intervention,
   and decision-making processes.",CUREUS JOURNAL OF MEDICAL SCIENCE,,Article,10.7759/cureus.69405,,,,"Marques, Marta and Almeida, Ana and Pereira, Helder",,35.0,WOS:001318683400003,,,paper,the medicine revolution through artificial intelligence ethical challenges of machine learning algorithms in decision making,10.7759/cureus.69405,https://doi.org/10.7759/cureus.69405,https://doi.org/10.7759/cureus.69405,195.169,citations=35; year=2024; risk_terms=6; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.7759/cureus.69405,True,200.0,https://www.cureus.com/articles/288300-the-medicine-revolution-through-artificial-intelligence-ethical-challenges-of-machine-learning-algorithms-in-decision-making,text/html; charset=utf-8,
7,,2024,"Artificial cognition vs. artificial intelligence for next-generation
   autonomous robotic agents","The trend in industrial/service robotics is to develop robots that can
   cooperate with people, interacting with them in an autonomous, safe and
   purposive way. These are the fundamental elements characterizing the
   fourth and the fifth industrial revolutions (4IR, 5IR): the crucial
   innovation is the adoption of intelligent technologies that can allow
   the development of cyber-physical systems, similar if not superior to
   humans. The common wisdom is that intelligence might be provided by AI
   (Artificial Intelligence), a claim that is supported more by media
   coverage and commercial interests than by solid scientific evidence. AI
   is currently conceived in a quite broad sense, encompassing LLMs and a
   lot of other things, without any unifying principle, but self-motivating
   for the success in various areas. The current view of AI robotics mostly
   follows a purely disembodied approach that is consistent with the
   old-fashioned, Cartesian mind-body dualism, reflected in the
   software-hardware distinction inherent to the von Neumann computing
   architecture. The working hypothesis of this position paper is that the
   road to the next generation of autonomous robotic agents with cognitive
   capabilities requires a fully brain-inspired, embodied cognitive
   approach that avoids the trap of mind-body dualism and aims at the full
   integration of Bodyware and Cogniware. We name this approach Artificial
   Cognition (ACo) and ground it in Cognitive Neuroscience. It is
   specifically focused on proactive knowledge acquisition based on
   bidirectional human-robot interaction: the practical advantage is to
   enhance generalization and explainability. Moreover, we believe that a
   brain-inspired network of interactions is necessary for allowing humans
   to cooperate with artificial cognitive agents, building a growing level
   of personal trust and reciprocal accountability: this is clearly
   missing, although actively sought, in current AI. The ACo approach is a
   work in progress that can take advantage of a number of research
   threads, some of them antecedent the early attempts to define AI
   concepts and methods. In the rest of the paper we will consider some of
   the building blocks that need to be re-visited in a unitary framework:
   the principles of developmental robotics, the methods of action
   representation with prospection capabilities, and the crucial role of
   social interaction.",FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,,Article,10.3389/fncom.2024.1349408,,,,"Sandini, Giulio and Sciutti, Alessandra and Morasso, Pietro",,23.0,WOS:001197822600001,,,paper,artificial cognition vs artificial intelligence for next generation autonomous robotic agents,10.3389/fncom.2024.1349408,https://doi.org/10.3389/fncom.2024.1349408,https://doi.org/10.3389/fncom.2024.1349408,194.493,citations=23; year=2024; risk_terms=4; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fncom.2024.1349408,True,200.0,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2024.1349408/full,text/html;charset=utf-8,
8,,2023,"Deep learning models for cloud, edge, fog, and IoT computing paradigms:
   Survey, recent advances, and future directions","In recent times, the machine learning (ML) community has recognized the
   deep learning (DL) computing model as the Gold Standard. DL has
   gradually become the most widely used computational approach in the
   field of machine learning, achieving remarkable results in various
   complex cognitive tasks that are comparable to, or even surpassing human
   performance. One of the key benefits of DL is its ability to learn from
   vast amounts of data. In recent years, the DL field has witnessed rapid
   expansion and has found successful applications in various conventional
   areas. Significantly, DL has outperformed established ML techniques in
   multiple domains, such as cloud computing, robotics, cybersecurity, and
   several others. Nowadays, cloud computing has become crucial owing to
   the constant growth of the IoT network. It remains the finest approach
   for putting sophisticated computational applications into use, stressing
   the huge data processing. Nevertheless, the cloud falls short because of
   the crucial limitations of cutting-edge IoT applications that produce
   enormous amounts of data and necessitate a quick reaction time with
   increased privacy. The latest trend is to adopt a decentralized
   distributed architecture and transfer processing and storage resources
   to the network edge. This eliminates the bottleneck of cloud computing
   as it places data processing and analytics closer to the consumer.
   Machine learning (ML) is being increasingly utilized at the network edge
   to strengthen computer programs, specifically by reducing latency and
   energy consumption while enhancing resource management and security. To
   achieve optimal outcomes in terms of efficiency, space, reliability, and
   safety with minimal power usage, intensive research is needed to develop
   and apply machine learning algorithms. This comprehensive examination of
   prevalent computing paradigms underscores recent advancements resulting
   from the integration of machine learning and emerging computing models,
   while also addressing the underlying open research issues along with
   potential future directions. Because it is thought to open up new
   opportunities for both interdisciplinary research and commercial
   applications, we present a thorough assessment of the most recent works
   involving the convergence of deep learning with various computing
   paradigms, including cloud, fog, edge, and IoT, in this contribution. We
   also draw attention to the main issues and possible future lines of
   research. We hope this survey will spur additional study and
   contributions in this exciting area.(c) 2023 Elsevier Inc. All rights
   reserved.",COMPUTER SCIENCE REVIEW,,Review,10.1016/j.cosrev.2023.100568,,,,"Ahmad, Shahnawaz and Shakeel, Iman and Mehfuz, Shabana and Ahmad, Javed",,104.0,WOS:001011458200001,,,paper,deep learning models for cloud edge fog and iot computing paradigms survey recent advances and future directions,10.1016/j.cosrev.2023.100568,https://doi.org/10.1016/j.cosrev.2023.100568,https://doi.org/10.1016/j.cosrev.2023.100568,194.155,citations=104; year=2023; risk_terms=5; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.cosrev.2023.100568,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1574013723000357,text/html;charset=UTF-8,
9,,2020,"Admittance-Based Controller Design for Physical Human-Robot Interaction
   in the Constrained Task Space","In this article, an admittance-based controller for physical human-robot
   interaction (pHRI) is presented to perform the coordinated operation in
   the constrained task space. An admittance model and a soft saturation
   function are employed to generate a differentiable reference trajectory
   to ensure that the end-effector motion of the manipulator complies with
   the human operation and avoids collision with surroundings. Then, an
   adaptive neural network (NN) controller involving integral barrier
   Lyapunov function (IBLF) is designed to deal with tracking issues.
   Meanwhile, the controller can guarantee the end-effector of the
   manipulator limited in the constrained task space. A learning method
   based on the radial basis function NN (RBFNN) is involved in controller
   design to compensate for the dynamic uncertainties and improve tracking
   performance. The IBLF method is provided to prevent violations of the
   constrained task space. We prove that all states of the closed-loop
   system are semiglobally uniformly ultimately bounded (SGUUB) by
   utilizing the Lyapunov stability principles. At last, the effectiveness
   of the proposed algorithm is verified on a Baxter robot experiment
   platform. Note to Practitioners-This work is motivated by the neglect of
   safety in existing controller design in physical human-robot interaction
   (pHRI), which exists in industry and services, such as assembly and
   medical care. It is considerably required in the controller design for
   rigorously handling constraints. Therefore, in this article, we propose
   a novel admittance-based human-robot interaction controller. The
   developed controller has the following functionalities: 1) ensuring
   reference trajectory remaining in the constrained task space: a
   differentiable reference trajectory is shaped by the desired admittance
   model and a soft saturation function; 2) solving uncertainties of
   robotic dynamics: a learning approach based on radial basis function
   neural network (RBFNN) is involved in controller design; and 3) ensuring
   the end-effector of the manipulator remaining in the constrained task
   space: different from other barrier Lyapunov function (BLF), integral
   BLF (IBLF) is proposed to constrain system output directly rather than
   tracking error, which may be more convenient for controller designers.
   The controller can be potentially applied in many areas. First, it can
   be used in the rehabilitation robot to avoid injuring the patient by
   limiting the motion. Second, it can ensure the end-effector of the
   industrial manipulator in a prescribed task region. In some industrial
   tasks, dangerous or damageable tools are mounted on the end-effector,
   and it will hurt humans and bring damage to the robot when the
   end-effector is out of the prescribed task region. Third, it may bring a
   new idea to the designed controller for avoiding collisions in pHRI when
   collisions occur in the prescribed trajectory of end-effector.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2020.2983225,,,,"He, Wei and Xue, Chengqian and Yu, Xinbo and Li, Zhijun and Yang,
   Chenguang",,282.0,WOS:000579640900021,,,paper,admittance based controller design for physical human robot interaction in the constrained task space,10.1109/tase.2020.2983225,https://doi.org/10.1109/tase.2020.2983225,https://doi.org/10.1109/tase.2020.2983225,194.036,citations=282; year=2020; risk_terms=3; physical_terms=7; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2020.2983225,True,202.0,https://ieeexplore.ieee.org/document/9075439/,text/html; charset=UTF-8,
10,,2024,Avoiding fusion plasma tearing instability with deep reinforcement learning,"Abstract For stable and efficient fusion energy production using a tokamak reactor, it is essential to maintain a high-pressure hydrogenic plasma without plasma disruption. Therefore, it is necessary to actively control the tokamak based on the observed plasma state, to manoeuvre high-pressure plasma while avoiding tearing instability, the leading cause of disruptions. This presents an obstacle-avoidance problem for which artificial intelligence based on reinforcement learning has recently shown remarkable performance 1–4 . However, the obstacle here, the tearing instability, is difficult to forecast and is highly prone to terminating plasma operations, especially in the ITER baseline scenario. Previously, we developed a multimodal dynamic model that estimates the likelihood of future tearing instability based on signals from multiple diagnostics and actuators 5 . Here we harness this dynamic model as a training environment for reinforcement-learning artificial intelligence, facilitating automated instability prevention. We demonstrate artificial intelligence control to lower the possibility of disruptive tearing instabilities in DIII-D 6 , the largest magnetic fusion facility in the United States. The controller maintained the tearing likelihood under a given threshold, even under relatively unfavourable conditions of low safety factor and low torque. In particular, it allowed the plasma to actively track the stable path within the time-varying operational space while maintaining H-mode performance, which was challenging with traditional preprogrammed control. This controller paves the path to developing stable high-performance operational scenarios for future use in ITER.",Nature,Nature Portfolio,article,10.1038/s41586-024-07024-9,https://openalex.org/W4392015292,https://doi.org/10.1038/s41586-024-07024-9,,"['Jaemin Seo', 'S.K. Kim', 'Azarakhsh Jalalvand', 'Rory Conlin', 'Andrew Rothstein', 'Joseph Abbate', 'Keith Erickson', 'J. Wai', 'Ricardo Shousha', 'Egemen Kolemen']",Jaemin Seo,126.0,https://openalex.org/W4392015292,actuator,Deep Reinforcement Learning for Energy Systems,paper,avoiding fusion plasma tearing instability with deep reinforcement learning,10.1038/s41586-024-07024-9,https://doi.org/10.1038/s41586-024-07024-9,https://doi.org/10.1038/s41586-024-07024-9,192.819,citations=126; year=2024; risk_terms=2; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1038/s41586-024-07024-9,True,200.0,https://www.nature.com/articles/s41586-024-07024-9,"text/html; charset=""UTF-8""",
