"section","respondent_id","assignment_block","display_id","card_id","candidate_a","candidate_b","reference_assignment","original_selected_l3","confidence","comment","original_confidence","revised_selected_l3","changed"
"original","R-951c8affb6d8","A04","V051","PHYSBENCH-REF-0105","P3.1","P3.2","P3.2","P3.2","2","","","",""
"original","R-951c8affb6d8","A04","V154","PHYSRISK-REF-0026","S3.1","S3.7","S3.1","S3.1","5","","","",""
"original","R-951c8affb6d8","A04","V058","PHYSRISK-REF-0013","P3.5","P3.2","P3.2","P3.2","4","a는 b에 속함","","",""
"original","R-951c8affb6d8","A04","V110","PHYSBENCH-REF-0043","I3.3","I3.4","I3.3","I3.4","3","","","",""
"original","R-951c8affb6d8","A04","V137","PHYSBENCH-REF-0065","I3.7","I3.6","I3.7","I3.6","4","","","",""
"original","R-951c8affb6d8","A04","V006","PHYSBENCH-REF-0039","P3.1","P3.4","P3.1","P3.4","4","","","",""
"original","R-951c8affb6d8","A04","V010","PHYSBENCH-REF-0052","P3.1","P3.4","P3.1","P3.1","3","","","",""
"original","R-951c8affb6d8","A04","V093","PHYSBENCH-REF-0018","I3.3","I3.1","I3.1","I3.1","4","모델이 언어로 유해한 물리적 행동을 무해한 작업으로 재해석해 실행하는 위험입니다. -> 표현이 어색함","","",""
"original","R-951c8affb6d8","A04","V059","PHYSRISK-REF-0014","P3.1","P3.2","P3.2","P3.2","3","","","",""
"original","R-951c8affb6d8","A04","V087","PHYSBENCH-REF-0098","P3.2","P3.5","P3.5","P3.5","4","","","",""
"original","R-951c8affb6d8","A04","V092","PHYSBENCH-REF-0017","I3.3","I3.1","I3.1","I3.1","4","","","",""
"original","R-951c8affb6d8","A04","V070","PHYSRISK-REF-0037","P3.4","P3.3","P3.3","P3.3","1","둘다 아님(제안 : 신설된 L3_에너지 소비 및 환경 오염)","","",""
"original","R-951c8affb6d8","A04","V140","PHYSBENCH-REF-0112","I3.8","I3.7","I3.7","I3.7","1","둘다 아님 (제안 : 신설L3_공정성)","","",""
"original","R-951c8affb6d8","A04","V109","PHYSRISK-REF-0044","I3.3","I3.2","I3.2","I3.2","5","","","",""
"original","R-951c8affb6d8","A04","V180","PHYSRISK-REF-0050","S3.5","S3.8","S3.8","S3.8","4","","","",""
"original","R-951c8affb6d8","A04","V045","PHYSBENCH-REF-0079","P3.2","P3.5","P3.2","P3.2","4","","","",""
"original","R-951c8affb6d8","A04","V046","PHYSBENCH-REF-0080","P3.2","P3.1","P3.2","P3.1","3","a/b는 다른계위..포함관계?","","",""
"original","R-951c8affb6d8","A04","V025","PHYSBENCH-REF-0008","P3.2","P3.5","P3.2","P3.5","3","","","",""
"original","R-951c8affb6d8","A04","V031","PHYSBENCH-REF-0015","P3.3","P3.2","P3.2","P3.2","1","둘다 아님 설계결함?","","",""
"original","R-951c8affb6d8","A04","V171","PHYSBENCH-REF-0113","S3.6","S3.7","S3.6","S3.6","4","","","",""
"original","R-951c8affb6d8","A04","V102","PHYSBENCH-REF-0095","I3.3","I3.1","I3.1","I3.1","4","","","",""
"original","R-951c8affb6d8","A04","V118","PHYSBENCH-REF-0089","I3.4","I3.5","I3.5","I3.4","3","둘다 아닌 것 같음","","",""
"original","R-951c8affb6d8","A04","V174","PHYSKR-REF-016","S3.6","S3.4","S3.6","S3.6","1","둘다 아닌것같음 & 이중규제 충돌이 어떤 상황이 있나요?","","",""
"original","R-951c8affb6d8","A04","V115","PHYSBENCH-REF-0099","I3.4","I3.3","I3.4","I3.4","4","","","",""
"original","R-951c8affb6d8","A04","V012","PHYSBENCH-REF-0057","P3.1","P3.5","P3.1","P3.1","4","","","",""
"original","R-951c8affb6d8","A04","V072","PHYSRISK-REF-0038","P3.4","P3.3","P3.4","P3.4","4","","","",""
"original","R-951c8affb6d8","A04","V127","PHYSBENCH-REF-0107","I3.6","I3.9","I3.6","I3.6","1","둘다아님_ 설계결함","","",""
"original","R-951c8affb6d8","A04","V159","PHYSRISK-REF-0036","S3.9","S3.2","S3.2","S3.9","3","","","",""
"original","R-951c8affb6d8","A04","V028","PHYSBENCH-REF-0011","P3.5","P3.2","P3.2","P3.2","1","둘다 아닌 것 같음","","",""
"original","R-951c8affb6d8","A04","V084","PHYSBENCH-REF-0062","P3.2","P3.5","P3.5","P3.5","1","둘다 아닌것같음_ 학습 오류?","","",""
"reconsideration","R-951c8affb6d8","A04","V006","PHYSBENCH-REF-0039","","","P3.1","P3.4","","","4","P3.4","no"
"reconsideration","R-951c8affb6d8","A04","V137","PHYSBENCH-REF-0065","","","I3.7","I3.6","","","4","I3.6","no"
"reconsideration","R-951c8affb6d8","A04","V025","PHYSBENCH-REF-0008","","","P3.2","P3.5","","","3","P3.5","no"
