"section","respondent_id","assignment_block","display_id","card_id","candidate_a","candidate_b","reference_assignment","original_selected_l3","confidence","comment","original_confidence","revised_selected_l3","changed"
"original","R-ea6ca044ebf8","A12","V169","PHYSBENCH-REF-0109","S3.6","S3.4","S3.6","S3.6","5","","","",""
"original","R-ea6ca044ebf8","A12","V002","PHYSBENCH-REF-0007","P3.1","P3.2","P3.1","P3.1","4","","","",""
"original","R-ea6ca044ebf8","A12","V065","PHYSRISK-REF-0041","P3.5","P3.2","P3.2","P3.5","4","","","",""
"original","R-ea6ca044ebf8","A12","V158","PHYSBENCH-REF-0021","S3.1","S3.7","S3.1","S3.1","5","","","",""
"original","R-ea6ca044ebf8","A12","V153","PHYSKR-REF-009","I3.8","I3.10","I3.10","I3.10","5","","","",""
"original","R-ea6ca044ebf8","A12","V049","PHYSBENCH-REF-0088","P3.5","P3.2","P3.2","P3.2","3","","","",""
"original","R-ea6ca044ebf8","A12","V062","PHYSCONN-REF-005","P3.1","P3.2","P3.2","P3.2","4","","","",""
"original","R-ea6ca044ebf8","A12","V096","PHYSBENCH-REF-0022","I3.1","I3.4","I3.1","I3.4","4","","","",""
"original","R-ea6ca044ebf8","A12","V071","PHYSBENCH-REF-0103","P3.1","P3.4","P3.4","P3.4","3","","","",""
"original","R-ea6ca044ebf8","A12","V005","PHYSBENCH-REF-0035","P3.1","P3.2","P3.1","P3.1","3","","","",""
"original","R-ea6ca044ebf8","A12","V047","PHYSBENCH-REF-0083","P3.2","P3.5","P3.2","P3.2","4","","","",""
"original","R-ea6ca044ebf8","A12","V131","PHYSRISK-REF-0033","I3.7","I3.6","I3.6","I3.6","4","","","",""
"original","R-ea6ca044ebf8","A12","V143","PHYSRISK-REF-0025","I3.8","I3.7","I3.7","I3.7","4","","","",""
"original","R-ea6ca044ebf8","A12","V119","PHYSBENCH-REF-0091","I3.4","I3.5","I3.5","I3.4","4","","","",""
"original","R-ea6ca044ebf8","A12","V045","PHYSBENCH-REF-0079","P3.2","P3.5","P3.2","P3.2","4","","","",""
"original","R-ea6ca044ebf8","A12","V150","PHYSCONN-REF-003","I3.9","I3.6","I3.9","I3.9","4","","","",""
"original","R-ea6ca044ebf8","A12","V114","PHYSBENCH-REF-0002","I3.4","I3.6","I3.4","I3.6","4","","","",""
"original","R-ea6ca044ebf8","A12","V012","PHYSBENCH-REF-0057","P3.5","P3.1","P3.1","P3.5","4","","","",""
"original","R-ea6ca044ebf8","A12","V077","PHYSBENCH-REF-0036","P3.4","P3.5","P3.4","P3.4","3","","","",""
"original","R-ea6ca044ebf8","A12","V089","PHYSRISK-REF-0015","P3.5","P3.1","P3.5","P3.5","4","","","",""
"original","R-ea6ca044ebf8","A12","V082","PHYSRISK-REF-0018","P3.5","P3.2","P3.5","P3.5","3","","","",""
"original","R-ea6ca044ebf8","A12","V016","PHYSBENCH-REF-0071","P3.5","P3.1","P3.1","P3.5","3","","","",""
"original","R-ea6ca044ebf8","A12","V140","PHYSBENCH-REF-0112","I3.8","I3.7","I3.7","I3.7","4","","","",""
"original","R-ea6ca044ebf8","A12","V174","PHYSKR-REF-016","S3.4","S3.6","S3.6","S3.6","4","","","",""
"original","R-ea6ca044ebf8","A12","V108","PHYSRISK-REF-0030","I3.1","I3.2","I3.1","I3.2","4","","","",""
"original","R-ea6ca044ebf8","A12","V094","PHYSBENCH-REF-0019","I3.3","I3.1","I3.1","I3.1","4","","","",""
"original","R-ea6ca044ebf8","A12","V034","PHYSBENCH-REF-0027","P3.3","P3.2","P3.2","P3.2","4","","","",""
"original","R-ea6ca044ebf8","A12","V033","PHYSBENCH-REF-0026","P3.1","P3.2","P3.2","P3.1","4","","","",""
"original","R-ea6ca044ebf8","A12","V178","PHYSRISK-REF-0047","S3.8","S3.5","S3.8","S3.8","3","","","",""
"original","R-ea6ca044ebf8","A12","V161","PHYSRISK-REF-0054","S3.4","S3.3","S3.4","S3.3","4","","","",""
"reconsideration","R-ea6ca044ebf8","A12","V012","PHYSBENCH-REF-0057","","","P3.1","P3.5","","","4","P3.1","yes"
"reconsideration","R-ea6ca044ebf8","A12","V033","PHYSBENCH-REF-0026","","","P3.2","P3.1","","","4","P3.2","yes"
"reconsideration","R-ea6ca044ebf8","A12","V065","PHYSRISK-REF-0041","","","P3.2","P3.5","","","4","P3.2","yes"
