match_score,card_idx,card_badge,card_label,card_refs_before,overlap_tags,rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error,justification,refs_after
1.575,56,PHYSBENCH-REF-0061,접촉 조작 힘 감지 실패 (Contact-rich manipulation force-sensing failure),3,collision;manipulation;privacy,66,,2024,"Learning-Based High-Precision Force Estimation and Compliant Control for
   Small-Scale Continuum Robot","Small-scale continuum robot-assisted minimally invasive surgery has
   received crucial attention due to its smaller incisions and high
   dexterity. In medical scenarios such as radiofrequency ablation and
   nasal/throat swab sampling, monitoring and controlling the forces
   applied to human tissue can help improve the safety and comfort level of
   the procedure. However, the tip-sensor-based force detection method can
   barely be deployed due to the miniature size of the continuum robot;
   meanwhile, the mechanical modeling-based high-precision force estimation
   cannot be realized on account of the continuum robots' complex structure
   with high nonlinear properties. To address the high-precision force
   estimation challenge for further compliant control during minimally
   invasive interventions, a learning-based high-precision force estimation
   method via long short-term memory (LSTM) is proposed in this paper. On
   this basis, compliance control and high-precision force tracking can be
   further realized for small-scale continuum robot. The compliance control
   ensures a smooth and stable transition during the interaction between
   the robot and the environment, and force tracking can be utilized for
   maintaining or precisely controlling the force applied to the human
   tissue. Finally, the contact force sensing and control experiments are
   carried out on a small-scale continuum robot system prototype, and a
   demonstration using a human nasal cavity model is conducted. The results
   validate that the proposed LSTM neural network fits the mechanical model
   of the continuum robot well with the root mean square error of 3.44mN,
   and the control method can significantly compensate for the
   instantaneous impact during contact with an attenuation of 59.3\% and
   rapidly respond to keep the force accurately at the expected value with
   the mean absolute error of 2.41mN.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3311179,,,,"Xiang, Pingyu and Zhang, Jingyu and Sun, Danying and Qiu, Ke and Fang,
   Qin and Mi, Xiangyu and Wang, Yue and Xiong, Rong and Lu, Haojian",,24.0,WOS:001064623800001,,,paper,learning based high precision force estimation and compliant control for small scale continuum robot,10.1109/tase.2023.3311179,https://doi.org/10.1109/tase.2023.3311179,https://doi.org/10.1109/tase.2023.3311179,175.064,citations=24; year=2024; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3311179,True,202.0,https://ieeexplore.ieee.org/document/10242341/,text/html; charset=UTF-8,,"피지컬 AI 시스템에서 '접촉 조작 힘 감지 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Learning-Based High-Precision… (Xiang et al., 2024)",4
1.503,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,164,,2024,"Deep reinforcement learning-based local path planning in dynamic
   environments for mobile robot☆","Path planning for robots in dynamic environments is a challenging task,
   as it requires balancing obstacle avoidance, trajectory smoothness, and
   path length during real-time planning.This paper proposes an algorithm
   called Adaptive Soft Actor-Critic (ASAC), which combines the Soft
   Actor-Critic (SAC) algorithm, tile coding, and the Dynamic Window
   Approach (DWA) to enhance path planning capabilities. ASAC leverages SAC
   with an automatic entropy adjustment mechanism to balance exploration
   and exploitation, integrates tile coding for improved feature
   representation, and utilizes DWA to define the action space through
   parameters such as target heading, obstacle distance, and velocity In
   this framework, the action space is defined by DWA's three weighting
   parameters: target heading deviation, distance to the nearest obstacle,
   and velocity. To facilitate the learning process, a non-sparse reward
   function is designed, incorporating factors such as Time- to-Collision
   (TTC), heading, and velocity. To validate the effectiveness of the
   algorithm, experiments were conducted in four different environments,
   and the algorithm was evaluated based on metrics such as trajectory
   deviation, smoothness, and time to reach the end point. The results
   demonstrate that ASAC outperforms existing algorithms in terms of
   trajectory smoothness, arrival time, and overall adaptability across
   various scenarios, effectively enabling path planning in dynamic
   environments.",JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,,Article,10.1016/j.jksuci.2024.102254,,,,"Tao, Bodong and Kim, Jae-Hoon",,26.0,WOS:001373302400001,,,paper,deep reinforcement learning based local path planning in dynamic environments for mobile robot,10.1016/j.jksuci.2024.102254,https://doi.org/10.1016/j.jksuci.2024.102254,https://doi.org/10.1016/j.jksuci.2024.102254,161.142,citations=26; year=2024; risk_terms=1; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jksuci.2024.102254,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1319157824003434,text/html;charset=UTF-8,,"불확실한 환경의 경로 계획에서 '장애물 개입 충돌' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Deep reinforcement learning-b… (Tao et al., 2024)",4
1.471,66,PHYSBENCH-REF-0104,휴머노이드 충돌력 초과 (Humanoid collision-force exceedance),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,,"제어 장벽 함수 기반 모션 계획에서 '휴머노이드 충돌력 초과' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Reactive motion planning fram… (Chen et al., 2025)",3
1.445,59,PHYSBENCH-REF-0069,전신 도달 한계 위반 (Whole-body reach-limit violation),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,,"제어 장벽 함수 기반 모션 계획에서 '전신 도달 한계 위반' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Reactive motion planning fram… (Chen et al., 2025)",3
1.44,58,PHYSBENCH-REF-0068,정밀 휴머노이드 접촉력 위험 (Dexterous humanoid contact-force risk),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,,"제어 장벽 함수 기반 모션 계획에서 '정밀 휴머노이드 접촉력 위험' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Reactive motion planning fram… (Chen et al., 2025)",3
1.305,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),3,collision;navigation;vehicle,14,,2024,"NR-RRT: Neural Risk-Aware Near-Optimal Path Planning in Uncertain
   Nonconvex Environments","Balancing the trade-off between safety and efficiency is of significant
   importance for path planning under uncertainty. Many developed
   risk-aware path planners explicitly limit the probability of collision
   to an acceptable bound in uncertain environments. However, convex
   obstacles or Gaussian uncertainties are usually assumed to make the
   problem tractable in the existing method. These assumptions limit the
   generalization and application of path planners in real-world
   implementations. In this article, we propose to apply deep learning
   methods to the sampling-based planner, developing a novel risk bounded
   near-optimal path planning algorithm named neural risk-aware RRT
   (NR-RRT). Specifically, a deterministic risk contours map is maintained
   by perceiving the probabilistic nonconvex obstacles, and a neural
   network sampler is proposed to predict the next most-promising safe
   state. Furthermore, the recursive divide-and-conquer planning and
   bidirectional search strategies are used to accelerate the convergence
   to a near-optimal solution with guaranteed bounded risk. Worst-case
   theoretical guarantees can also be proven owing to a standby safety
   guaranteed planner utilizing a uniform sampling distribution. Simulation
   experiments demonstrate that the proposed algorithm outperforms the
   state-of-the-art for finding risk bounded low-cost paths in uncertain
   nonconvex environments with seen and unseen scene layouts. Note to
   Practitioners-This article is motivated by developing an efficient
   risk-aware path planner that can quickly find risk bounded solutions in
   uncertain nonconvex environments for practical applications, such as
   autonomous vehicles and search-and-rescue robots. Sampling-based
   planning approaches such as rapidly-exploring random tree (RRT) and its
   variants are popular for their good performance in exploring the state
   space. However, it is quite time-consuming to look for risk bounded
   paths in uncertain environments, especially under nonconvex and
   non-Gaussian constraints. The initial paths are often of poor quality.
   Therefore, we propose the NR-RRT algorithm to rapidly find near-optimal
   solutions with guaranteed bounded risk. It utilizes an informed
   bidirectional search strategy after having past experiences in the
   challenging environments. It can be applied in not only seen uncertain
   scenarios but also those have unseen scene layouts different from the
   training scenarios. However, the algorithm cannot handle the problem in
   environments that contain entirely unseen obstacles. In future research,
   we will address the problem of planning under robot model uncertainty.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2022.3215562,,,,"Meng, Fei and Chen, Liangliang and Ma, Han and Wang, Jiankun and Meng,
   Max Q. -H.",,34.0,WOS:001139915600032,,,paper,nr rrt neural risk aware near optimal path planning in uncertain nonconvex environments,10.1109/tase.2022.3215562,https://doi.org/10.1109/tase.2022.3215562,https://doi.org/10.1109/tase.2022.3215562,189.775,citations=34; year=2024; risk_terms=5; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2022.3215562,True,202.0,https://ieeexplore.ieee.org/document/9928264/,text/html; charset=UTF-8,,"불확실한 환경의 경로 계획에서 '가림에 의한 충돌' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; NR-RRT: Neural Risk-Aware Nea… (Meng et al., 2024)",4
1.251,67,PHYSBENCH-REF-0105,휴머노이드 파지력 초과 (Humanoid grip-force exceedance),1,collision;humanoid;manipulation,161,,2024,"TacSuit: A Wearable Large-Area, Bioinspired Multimodal Tactile Skin for
   Collaborative Robots","Robots are now working more and more closely with humans outside of
   traditional fences in industrial scenes. Their real-time tactile
   interaction perception is crucial to the safety of human-robot
   collaboration (HRC). In this work, we present a customized, wearable,
   and modular robot skin (TacSuit), which is scalable for large-area
   surface coverage of robot with easily accessible multimodal sensors,
   including pressure, proximity, acceleration, and temperature sensors.
   The TacSuit is co-designed for mechanical structure and data fusion
   algorithm, consisting of three levels of design: sensor, cell (of
   multimodal sensors), and block (of multiple cells). These sensors are
   stored with custom-designed and 3-D printed capsules to achieve the
   conformity, scalability, and easy installation to the arbitrary robot
   surface. A multilevel event-driven data fusion algorithm enables
   efficient information processing for large number of tactile sensors.
   Furthermore, a virtual interaction force fusion method takes both the
   proximity and force perception information into consideration in order
   to achieve safety of whole interaction process before and after direct
   physical contacts. A humanoid robotic platform successfully realizes the
   TacSuit wear of 159 tactile cells. Validation experiments of obstacle
   detection demonstrate the effective collision avoidance capability of
   the TacSuit for safe HRC.",IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,Article,10.1109/TIE.2023.3253921,,,,"Zhou, Yanmin and Zhao, Jiangang and Lu, Ping and Wang, Zhipeng and He,
   Bin",,31.0,WOS:001051778100057,,,paper,tacsuit a wearable large area bioinspired multimodal tactile skin for collaborative robots,10.1109/tie.2023.3253921,https://doi.org/10.1109/tie.2023.3253921,https://doi.org/10.1109/tie.2023.3253921,161.52,citations=31; year=2024; risk_terms=3; physical_terms=7,https://doi.org/10.1109/tie.2023.3253921,True,202.0,https://ieeexplore.ieee.org/document/10068344/,text/html; charset=UTF-8,,"촉각·힘 센서 기반 로봇 제어에서 '휴머노이드 파지력 초과' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; TacSuit: A Wearable Large-Are… (Zhou et al., 2024)",2
1.249,54,PHYSBENCH-REF-0055,제어 장벽 함수 실패 (Control barrier function safety-filter failure),1,collision;uncertainty,52,,2025,"Explainable and Safety Aware Deep Reinforcement Learning-Based Control
   of Nonlinear Discrete-Time Systems Using Neural Network Gradient
   Decomposition","This paper presents an explainable deep-reinforcement learning
   (DRL)-based safety-aware optimal adaptive tracking (SOAT) scheme for a
   class of nonlinear discrete-time (DT) affine systems subject to state
   inequality constraints. The DRL-based SOAT utilizes a multilayer neural
   network (MNN)-based actor-critic to estimate the cost function and
   optimal policy while the MNN update laws are tuned both using the
   singular value decomposition (SVD) of activation function gradient in
   order to mitigate the vanishing gradient issue and safety-aware Bellman
   error at each layer. An approximate safety-aware optimal policy is
   developed using Karush-Kuhn-Tucker (KKT) conditions by incorporating the
   higher-order control barrier function (HOCBF) into the Hamiltonian
   through the Lagrangian multiplier. The resulting safety-aware Bellman
   error helps with safe exploration both during online learning phase and
   at steady state without any explicit actor-critic MNN update law
   changes. To study the explainability and gain insights, we employ the
   Shapley Additive Explanations (SHAP) method to construct an explainer
   model for the DRL-based SOAT scheme in order to identify the important
   features in determining the optimal policy. The overall stability is
   established. Finally, the effectiveness of the proposed method is
   demonstrated on Shipboard Power Systems (SPS), achieving over a 35\%
   reduction in cumulative cost compared to the existing actor-critic MNN
   optimal control policy. Note to Practitioners-In practical control
   systems, meeting safety constraints is often critical since ignoring
   constraints can lead to degraded performance or damage to equipment.
   This paper addresses the challenge of a safe DRL-based control approach
   that not only optimizes performance but also integrates robust safety
   assurances. Our DRL-based SOAT scheme specifically targets nonlinear
   discrete-time systems that must satisfy state inequality constraints.
   The successful proposed control performance in simulations on a
   Shipboard Power System demonstrates the potential for practical
   applications. DRL-based SOAT employs an MNN with an actor-critic
   framework for continuous learning and policy adaptation. Integrating
   HOCBFs directly into the optimization ensures safe operation, even
   during online learning, which is critical for real-time applications.
   The addition of SHAP enhances transparency by identifying key features
   that influence control decisions. Future work could adapt this framework
   to other constrained environments, such as autonomous vehicles,
   robotics, and industrial automation, where safety, optimality, and
   explainability are essential.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2025.3554431,,,,"Farzanegan, Behzad and Jagannathan, Sarangapani",,6.0,WOS:001470389400016,,,paper,explainable and safety aware deep reinforcement learning based control of nonlinear discrete time systems using neural network gradient decomposition,10.1109/tase.2025.3554431,https://doi.org/10.1109/tase.2025.3554431,https://doi.org/10.1109/tase.2025.3554431,177.243,citations=6; year=2025; risk_terms=4; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2025.3554431,True,202.0,https://ieeexplore.ieee.org/document/10938298/,text/html; charset=UTF-8,,"설명 가능한 안전 제어에서 '제어 장벽 함수 실패' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Explainable and Safety Aware… (Farzanegan et al., 2025)",2
1.24,33,PHYSBENCH-REF-0076,인간 모방 분포 이동 (Human-mimicking distribution shift),1,humanoid;uncertainty,182,,2026,"Toward Reliable Imitation Learning With Limited Expert Demonstrations
   via Search-Based Inverse Dynamic Learning","Imitation learning (IL) shows its superiority in faster strategy
   optimization by leveraging expert demonstrations. However, as one of the
   powerful IL methods, behavior cloning (BC) suffers from covariate shift
   problems, where the agent's policy drifts away from the expert's,
   leading to compounding errors and decreased generalization performance.
   To this end, we propose Search-based Inverse Dynamics Imitation
   Learning, namely SIDIL, to enhance the robustness of imitation learning
   by augmenting expert demonstrations via trajectory perturbation and
   stitching. Specifically, SIDIL first employs a nearest-neighbor search
   method to find the closest points between expert and perturbed data,
   generating new actions near the expert data via a stitching strategy. By
   exploiting this, the agent can recover from deviations and complete
   tasks under a wider range of conditions. Experimental results on various
   robotic tasks show that SIDIL outperforms baseline algorithms with
   higher success rates across multiple tasks. Meanwhile, SIDIL is allowed
   to expand the attractive region around expert demonstrations by
   stitching states from expert demonstrations, enjoying a higher task
   completion success rate even for states outside the expert distribution.
   These results highlight our potential to enhance humanoid locomotion and
   dexterous robotic hand manipulation, making it particularly suitable for
   industrial manufacturing automation where adaptability, robustness, and
   safety are essential.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2026.3668970,,,,"Lin, Zhiliang and Chen, Zhuangzhuang and Zhu, Guanming and Wang, Li and
   Li, Jianqiang",,1.0,WOS:001711114800003,,,paper,toward reliable imitation learning with limited expert demonstrations via search based inverse dynamic learning,10.1109/tase.2026.3668970,https://doi.org/10.1109/tase.2026.3668970,https://doi.org/10.1109/tase.2026.3668970,159.704,citations=1; year=2026; risk_terms=3; physical_terms=7; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2026.3668970,True,202.0,https://ieeexplore.ieee.org/document/11417181/,text/html; charset=UTF-8,,"피지컬 AI 시스템에서 '인간 모방 분포 이동' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Toward Reliable Imitation Lea… (Lin et al., 2026)",2
1.204,20,PHYSBENCH-REF-0032,안전 강화학습 제약 위반 (Safe reinforcement learning constraint violation),3,learning;manipulation,52,,2025,"Explainable and Safety Aware Deep Reinforcement Learning-Based Control
   of Nonlinear Discrete-Time Systems Using Neural Network Gradient
   Decomposition","This paper presents an explainable deep-reinforcement learning
   (DRL)-based safety-aware optimal adaptive tracking (SOAT) scheme for a
   class of nonlinear discrete-time (DT) affine systems subject to state
   inequality constraints. The DRL-based SOAT utilizes a multilayer neural
   network (MNN)-based actor-critic to estimate the cost function and
   optimal policy while the MNN update laws are tuned both using the
   singular value decomposition (SVD) of activation function gradient in
   order to mitigate the vanishing gradient issue and safety-aware Bellman
   error at each layer. An approximate safety-aware optimal policy is
   developed using Karush-Kuhn-Tucker (KKT) conditions by incorporating the
   higher-order control barrier function (HOCBF) into the Hamiltonian
   through the Lagrangian multiplier. The resulting safety-aware Bellman
   error helps with safe exploration both during online learning phase and
   at steady state without any explicit actor-critic MNN update law
   changes. To study the explainability and gain insights, we employ the
   Shapley Additive Explanations (SHAP) method to construct an explainer
   model for the DRL-based SOAT scheme in order to identify the important
   features in determining the optimal policy. The overall stability is
   established. Finally, the effectiveness of the proposed method is
   demonstrated on Shipboard Power Systems (SPS), achieving over a 35\%
   reduction in cumulative cost compared to the existing actor-critic MNN
   optimal control policy. Note to Practitioners-In practical control
   systems, meeting safety constraints is often critical since ignoring
   constraints can lead to degraded performance or damage to equipment.
   This paper addresses the challenge of a safe DRL-based control approach
   that not only optimizes performance but also integrates robust safety
   assurances. Our DRL-based SOAT scheme specifically targets nonlinear
   discrete-time systems that must satisfy state inequality constraints.
   The successful proposed control performance in simulations on a
   Shipboard Power System demonstrates the potential for practical
   applications. DRL-based SOAT employs an MNN with an actor-critic
   framework for continuous learning and policy adaptation. Integrating
   HOCBFs directly into the optimization ensures safe operation, even
   during online learning, which is critical for real-time applications.
   The addition of SHAP enhances transparency by identifying key features
   that influence control decisions. Future work could adapt this framework
   to other constrained environments, such as autonomous vehicles,
   robotics, and industrial automation, where safety, optimality, and
   explainability are essential.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2025.3554431,,,,"Farzanegan, Behzad and Jagannathan, Sarangapani",,6.0,WOS:001470389400016,,,paper,explainable and safety aware deep reinforcement learning based control of nonlinear discrete time systems using neural network gradient decomposition,10.1109/tase.2025.3554431,https://doi.org/10.1109/tase.2025.3554431,https://doi.org/10.1109/tase.2025.3554431,177.243,citations=6; year=2025; risk_terms=4; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2025.3554431,True,202.0,https://ieeexplore.ieee.org/document/10938298/,text/html; charset=UTF-8,,"설명 가능한 안전 제어에서 '안전 강화학습 제약 위반' 문제가 실제 안전 문제로 이어질 수 있음을 다룬다; Explainable and Safety Aware… (Farzanegan et al., 2025)",4
