"section","respondent_id","assignment_block","display_id","card_id","candidate_a","candidate_b","reference_assignment","original_selected_l3","confidence","comment","original_confidence","revised_selected_l3","changed"
"original","R-6727de20305f","A05","V075","PHYSCONN-REF-008","P3.4","P3.1","P3.4","P3.4","4","","","",""
"original","R-6727de20305f","A05","V148","PHYSBENCH-REF-0033","I3.9","I3.6","I3.9","I3.9","5","","","",""
"original","R-6727de20305f","A05","V069","PHYSBENCH-REF-0016","P3.3","P3.2","P3.3","P3.2","3","","","",""
"original","R-6727de20305f","A05","V089","PHYSRISK-REF-0015","P3.5","P3.1","P3.5","P3.5","4","","","",""
"original","R-6727de20305f","A05","V013","PHYSBENCH-REF-0058","P3.4","P3.1","P3.1","P3.4","2","","","",""
"original","R-6727de20305f","A05","V048","PHYSBENCH-REF-0085","P3.1","P3.2","P3.2","P3.2","3","의도하지 않은 피해 카테고리는 너무 광범위하여 분류에 혼란을 줄 수 있을 것으로 보임","","",""
"original","R-6727de20305f","A05","V018","PHYSBENCH-REF-0077","P3.1","P3.2","P3.1","P3.2","3","","","",""
"original","R-6727de20305f","A05","V112","PHYSRISK-REF-0031","I3.3","I3.2","I3.3","I3.2","1","","","",""
"original","R-6727de20305f","A05","V052","PHYSBENCH-REF-0106","P3.5","P3.2","P3.2","P3.2","3","","","",""
"original","R-6727de20305f","A05","V037","PHYSBENCH-REF-0053","P3.2","P3.1","P3.2","P3.2","4","","","",""
"original","R-6727de20305f","A05","V160","PHYSRISK-REF-0052","S3.9","S3.3","S3.3","S3.3","4","","","",""
"original","R-6727de20305f","A05","V035","PHYSBENCH-REF-0028","P3.5","P3.2","P3.2","P3.2","3","","","",""
"original","R-6727de20305f","A05","V046","PHYSBENCH-REF-0080","P3.2","P3.1","P3.2","P3.2","3","","","",""
"original","R-6727de20305f","A05","V171","PHYSBENCH-REF-0113","S3.7","S3.6","S3.6","S3.7","1","","","",""
"original","R-6727de20305f","A05","V120","PHYSBENCH-REF-0092","I3.5","I3.4","I3.5","I3.4","2","","","",""
"original","R-6727de20305f","A05","V157","PHYSRISK-REF-0053","S3.1","S3.7","S3.1","S3.1","3","","","",""
"original","R-6727de20305f","A05","V107","PHYSRISK-REF-0046","I3.1","I3.2","I3.1","I3.2","1","","","",""
"original","R-6727de20305f","A05","V134","PHYSBENCH-REF-0001","I3.10","I3.7","I3.7","I3.7","3","","","",""
"original","R-6727de20305f","A05","V137","PHYSBENCH-REF-0065","I3.6","I3.7","I3.7","I3.6","2","","","",""
"original","R-6727de20305f","A05","V027","PHYSBENCH-REF-0010","P3.2","P3.3","P3.2","P3.2","3","","","",""
"original","R-6727de20305f","A05","V014","PHYSBENCH-REF-0064","P3.4","P3.1","P3.1","P3.4","3","","","",""
"original","R-6727de20305f","A05","V087","PHYSBENCH-REF-0098","P3.2","P3.5","P3.5","P3.5","3","","","",""
"original","R-6727de20305f","A05","V159","PHYSRISK-REF-0036","S3.9","S3.2","S3.2","S3.2","4","","","",""
"original","R-6727de20305f","A05","V062","PHYSCONN-REF-005","P3.2","P3.1","P3.2","P3.2","2","","","",""
"original","R-6727de20305f","A05","V152","PHYSRISK-REF-0024","I3.10","I3.7","I3.10","I3.10","2","","","",""
"original","R-6727de20305f","A05","V167","PHYSBENCH-REF-0094","S3.6","S3.7","S3.6","S3.7","1","","","",""
"original","R-6727de20305f","A05","V131","PHYSRISK-REF-0033","I3.7","I3.6","I3.6","I3.6","3","","","",""
"original","R-6727de20305f","A05","V096","PHYSBENCH-REF-0022","I3.4","I3.1","I3.1","I3.4","2","","","",""
"original","R-6727de20305f","A05","V020","PHYSBENCH-REF-0090","P3.2","P3.1","P3.1","P3.2","3","","","",""
"original","R-6727de20305f","A05","V102","PHYSBENCH-REF-0095","I3.3","I3.1","I3.1","I3.1","1","","","",""
"reconsideration","R-6727de20305f","A05","V014","PHYSBENCH-REF-0064","","","P3.1","P3.4","","","3","P3.1","yes"
"reconsideration","R-6727de20305f","A05","V018","PHYSBENCH-REF-0077","","","P3.1","P3.2","","","3","P3.1","yes"
"reconsideration","R-6727de20305f","A05","V020","PHYSBENCH-REF-0090","","","P3.1","P3.2","","","3","P3.2","no"
