match_score,card_idx,card_badge,card_label,card_refs_before,overlap_tags,rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error
1.575,56,PHYSBENCH-REF-0061,접촉 조작 힘 감지 실패 (Contact-rich manipulation force-sensing failure),3,collision;manipulation;privacy,66,,2024,"Learning-Based High-Precision Force Estimation and Compliant Control for
   Small-Scale Continuum Robot","Small-scale continuum robot-assisted minimally invasive surgery has
   received crucial attention due to its smaller incisions and high
   dexterity. In medical scenarios such as radiofrequency ablation and
   nasal/throat swab sampling, monitoring and controlling the forces
   applied to human tissue can help improve the safety and comfort level of
   the procedure. However, the tip-sensor-based force detection method can
   barely be deployed due to the miniature size of the continuum robot;
   meanwhile, the mechanical modeling-based high-precision force estimation
   cannot be realized on account of the continuum robots' complex structure
   with high nonlinear properties. To address the high-precision force
   estimation challenge for further compliant control during minimally
   invasive interventions, a learning-based high-precision force estimation
   method via long short-term memory (LSTM) is proposed in this paper. On
   this basis, compliance control and high-precision force tracking can be
   further realized for small-scale continuum robot. The compliance control
   ensures a smooth and stable transition during the interaction between
   the robot and the environment, and force tracking can be utilized for
   maintaining or precisely controlling the force applied to the human
   tissue. Finally, the contact force sensing and control experiments are
   carried out on a small-scale continuum robot system prototype, and a
   demonstration using a human nasal cavity model is conducted. The results
   validate that the proposed LSTM neural network fits the mechanical model
   of the continuum robot well with the root mean square error of 3.44mN,
   and the control method can significantly compensate for the
   instantaneous impact during contact with an attenuation of 59.3\% and
   rapidly respond to keep the force accurately at the expected value with
   the mean absolute error of 2.41mN.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3311179,,,,"Xiang, Pingyu and Zhang, Jingyu and Sun, Danying and Qiu, Ke and Fang,
   Qin and Mi, Xiangyu and Wang, Yue and Xiong, Rong and Lu, Haojian",,24.0,WOS:001064623800001,,,paper,learning based high precision force estimation and compliant control for small scale continuum robot,10.1109/tase.2023.3311179,https://doi.org/10.1109/tase.2023.3311179,https://doi.org/10.1109/tase.2023.3311179,175.064,citations=24; year=2024; risk_terms=2; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3311179,True,202.0,https://ieeexplore.ieee.org/document/10242341/,text/html; charset=UTF-8,
1.503,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,164,,2024,"Deep reinforcement learning-based local path planning in dynamic
   environments for mobile robot☆","Path planning for robots in dynamic environments is a challenging task,
   as it requires balancing obstacle avoidance, trajectory smoothness, and
   path length during real-time planning.This paper proposes an algorithm
   called Adaptive Soft Actor-Critic (ASAC), which combines the Soft
   Actor-Critic (SAC) algorithm, tile coding, and the Dynamic Window
   Approach (DWA) to enhance path planning capabilities. ASAC leverages SAC
   with an automatic entropy adjustment mechanism to balance exploration
   and exploitation, integrates tile coding for improved feature
   representation, and utilizes DWA to define the action space through
   parameters such as target heading, obstacle distance, and velocity In
   this framework, the action space is defined by DWA's three weighting
   parameters: target heading deviation, distance to the nearest obstacle,
   and velocity. To facilitate the learning process, a non-sparse reward
   function is designed, incorporating factors such as Time- to-Collision
   (TTC), heading, and velocity. To validate the effectiveness of the
   algorithm, experiments were conducted in four different environments,
   and the algorithm was evaluated based on metrics such as trajectory
   deviation, smoothness, and time to reach the end point. The results
   demonstrate that ASAC outperforms existing algorithms in terms of
   trajectory smoothness, arrival time, and overall adaptability across
   various scenarios, effectively enabling path planning in dynamic
   environments.",JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,,Article,10.1016/j.jksuci.2024.102254,,,,"Tao, Bodong and Kim, Jae-Hoon",,26.0,WOS:001373302400001,,,paper,deep reinforcement learning based local path planning in dynamic environments for mobile robot,10.1016/j.jksuci.2024.102254,https://doi.org/10.1016/j.jksuci.2024.102254,https://doi.org/10.1016/j.jksuci.2024.102254,161.142,citations=26; year=2024; risk_terms=1; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.jksuci.2024.102254,True,200.0,https://linkinghub.elsevier.com/retrieve/pii/S1319157824003434,text/html;charset=UTF-8,
1.471,66,PHYSBENCH-REF-0104,휴머노이드 충돌력 초과 (Humanoid collision-force exceedance),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,
1.451,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,
1.445,59,PHYSBENCH-REF-0069,전신 도달 한계 위반 (Whole-body reach-limit violation),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,
1.44,58,PHYSBENCH-REF-0068,정밀 휴머노이드 접촉력 위험 (Dexterous humanoid contact-force risk),2,collision;humanoid;manipulation,184,,2025,"Reactive motion planning framework based on control barrier function and
   sampling-based MPC for humanoid upper-body robots","Future humanoid robots must be reactive and dexterous when operating in
   dynamic, human-centered environments. To address the challenges of
   task-space constrained manipulation and reactive motion planning
   resulting in locally optimal robot motion in complex unstructured
   environments, we propose a general framework for humanoid upper-body
   robots (HUBRs), which enables three distinct reactive motion modes, to
   fill the research gap about unifying tightly coupled coordinated
   bimanual manipulation, reactive motion, and overcoming the local minima
   of reactive motion planning: (1) Tightly coupled coordinated bimanual
   reactive collision-free motion for any type of obstacles, which is
   achieved by vector field (VF), cooperative dual task space (CDTS), and
   our proposed safety filter based on control barrier function (CBF). (2)
   The robot arms proactively escape from the local minima induced by
   concave obstacles and reactive motion via the proposed local VF
   modulation strategy that incorporates the novel force navigation kernel
   and the kernel parameter optimization based on sampling-based model
   predictive control (MPPI). This motion mode is automatically activated
   by evaluating an efficient scalar-valued activation function. (3)
   Reactive coordinated waist-arm motion based on the dual-arm reachability
   analysis for dual-arm workspace expansion. This motion mode is triggered
   when dual-arm manipulability or the tilt angle of the dual-arm
   end-effectors reach the threshold value. Various planning methods are
   thoroughly validated in cluttered and dynamic simulation scenarios. The
   proposed framework out-performs existing solutions in constrained
   manipulation tasks. We also demonstrate the benefits of the proposed
   framework in real-world experiments.",SCIENCE CHINA-TECHNOLOGICAL SCIENCES,,Article,10.1007/s11431-025-3053-1,,,,"Chen, Zhaoyang and Fan, Xinyang and Ni, Fenglei and Ren, Yi and Liu,
   Hong",,1.0,WOS:001600488000004,,,paper,reactive motion planning framework based on control barrier function and sampling based mpc for humanoid upper body robots,10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,https://doi.org/10.1007/s11431-025-3053-1,159.704,citations=1; year=2025; risk_terms=3; physical_terms=6; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s11431-025-3053-1,True,200.0,https://link.springer.com/article/10.1007/s11431-025-3053-1,text/html; charset=utf-8,
1.424,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,161,,2024,"TacSuit: A Wearable Large-Area, Bioinspired Multimodal Tactile Skin for
   Collaborative Robots","Robots are now working more and more closely with humans outside of
   traditional fences in industrial scenes. Their real-time tactile
   interaction perception is crucial to the safety of human-robot
   collaboration (HRC). In this work, we present a customized, wearable,
   and modular robot skin (TacSuit), which is scalable for large-area
   surface coverage of robot with easily accessible multimodal sensors,
   including pressure, proximity, acceleration, and temperature sensors.
   The TacSuit is co-designed for mechanical structure and data fusion
   algorithm, consisting of three levels of design: sensor, cell (of
   multimodal sensors), and block (of multiple cells). These sensors are
   stored with custom-designed and 3-D printed capsules to achieve the
   conformity, scalability, and easy installation to the arbitrary robot
   surface. A multilevel event-driven data fusion algorithm enables
   efficient information processing for large number of tactile sensors.
   Furthermore, a virtual interaction force fusion method takes both the
   proximity and force perception information into consideration in order
   to achieve safety of whole interaction process before and after direct
   physical contacts. A humanoid robotic platform successfully realizes the
   TacSuit wear of 159 tactile cells. Validation experiments of obstacle
   detection demonstrate the effective collision avoidance capability of
   the TacSuit for safe HRC.",IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,Article,10.1109/TIE.2023.3253921,,,,"Zhou, Yanmin and Zhao, Jiangang and Lu, Ping and Wang, Zhipeng and He,
   Bin",,31.0,WOS:001051778100057,,,paper,tacsuit a wearable large area bioinspired multimodal tactile skin for collaborative robots,10.1109/tie.2023.3253921,https://doi.org/10.1109/tie.2023.3253921,https://doi.org/10.1109/tie.2023.3253921,161.52,citations=31; year=2024; risk_terms=3; physical_terms=7,https://doi.org/10.1109/tie.2023.3253921,True,202.0,https://ieeexplore.ieee.org/document/10068344/,text/html; charset=UTF-8,
1.398,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,59,,2023,Collision avoidance for autonomous ship using deep reinforcement learning and prior-knowledge-based approximate representation,"Reinforcement learning (RL) has shown superior performance in solving sequential decision problems. In recent years, RL is gradually being used to solve unmanned driving collision avoidance decision-making problems in complex scenarios. However, ships encounter many scenarios, and the differences in scenarios will seriously hinder the application of RL in collision avoidance at sea. Moreover, the iterative speed of trial-and-error learning for RL in multi-ship encounter scenarios is slow. To solve this problem, this study develops a novel intelligent collision avoidance algorithm based on approximate representation reinforcement learning (AR-RL) to realize the collision avoidance of maritime autonomous surface ships (MASS) in a continuous state space environment involving interactive learning capability like a crew in navigation situation. The new algorithm uses an approximate representation model to deal with the optimization of collision avoidance strategies in a dynamic target encounter situation. The model is combined with prior knowledge and International Regulations for Preventing Collisions at Sea (COLREGs) for optimal performance. This is followed by a design of an online solution to a value function approximation model based on gradient descent. This approach can solve the problem of large-scale collision avoidance policy learning in static-dynamic obstacles mixed environment. Finally, algorithm tests were constructed though two scenarios (i.e., the coastal static obstacle environment and the static-dynamic obstacles mixed environment) using Tianjin Port as an example and compared with multiple groups of algorithms. The results show that the algorithm can improve the large-scale learning efficiency of continuous state space of dynamic obstacle environment by approximate representation. At the same time, the MASS can efficiently and safely avoid obstacles enroute to reaching its target destination. It therefore makes significant contributions to ensuring safety at sea in a mixed traffic involving both manned and MASS in near future.",Frontiers in Marine Science,Frontiers Media,article,10.3389/fmars.2022.1084763,https://openalex.org/W4317388085,https://doi.org/10.3389/fmars.2022.1084763,,"['Chengbo Wang', 'Xinyu Zhang', 'Zaili Yang', 'Musa Bashir', 'Kwangil Lee']",Chengbo Wang,59.0,https://openalex.org/W4317388085,navigation | unmanned,Ship Motion and Trajectory Prediction,paper,collision avoidance for autonomous ship using deep reinforcement learning and prior knowledge based approximate representation,10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,https://doi.org/10.3389/fmars.2022.1084763,176.321,citations=59; year=2023; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.3389/fmars.2022.1084763,True,200.0,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2022.1084763/full,text/html;charset=utf-8,
1.398,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,104,,2024,"Design and Experimental Validation of Deep Reinforcement Learning-Based
   Fast Trajectory Planning and Control for Mobile Robot in Unknown
   Environment","This article is concerned with the problem of planning optimal maneuver
   trajectories and guiding the mobile robot toward target positions in
   uncertain environments for exploration purposes. A hierarchical deep
   learning-based control framework is proposed which consists of an upper
   level motion planning layer and a lower level waypoint tracking layer.
   In the motion planning phase, a recurrent deep neural network
   (RDNN)-based algorithm is adopted to predict the optimal maneuver
   profiles for the mobile robot. This approach is built upon a recently
   proposed idea of using deep neural networks (DNNs) to approximate the
   optimal motion trajectories, which has been validated that a fast
   approximation performance can be achieved. To further enhance the
   network prediction performance, a recurrent network model capable of
   fully exploiting the inherent relationship between preoptimized system
   state and control pairs is advocated. In the lower level, a deep
   reinforcement learning (DRL)-based collision-free control algorithm is
   established to achieve the waypoint tracking task in an uncertain
   environment (e.g., the existence of unexpected obstacles). Since this
   approach allows the control policy to directly learn from human
   demonstration data, the time required by the training process can be
   significantly reduced. Moreover, a noisy prioritized experience replay
   (PER) algorithm is proposed to improve the exploring rate of control
   policy. The effectiveness of applying the proposed deep learning-based
   control is validated by executing a number of simulation and
   experimental case studies. The simulation result shows that the proposed
   DRL method outperforms the vanilla PER algorithm in terms of training
   speed. Experimental videos are also uploaded, and the corresponding
   results confirm that the proposed strategy is able to fulfill the
   autonomous exploration mission with improved motion planning
   performance, enhanced collision avoidance ability, and less training
   time.",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,,Article,10.1109/TNNLS.2022.3209154,,,,"Chai, Runqi and Niu, Hanlin and Carrasco, Joaquin and Arvin, Farshad and
   Yin, Hujun and Lennox, Barry",,276.0,WOS:000869051000001,,,paper,design and experimental validation of deep reinforcement learning based fast trajectory planning and control for mobile robot in unknown environment,10.1109/tnnls.2022.3209154,https://doi.org/10.1109/tnnls.2022.3209154,https://doi.org/10.1109/tnnls.2022.3209154,166.736,citations=276; year=2024; risk_terms=1; physical_terms=3,https://doi.org/10.1109/tnnls.2022.3209154,True,202.0,https://ieeexplore.ieee.org/document/9913936/,text/html; charset=UTF-8,
1.398,53,PHYSBENCH-REF-0053,장애물 개입 충돌 (Obstacle intervention collision),3,collision;manipulation;navigation,108,,2023,"Integrated Task Sensing and Whole Body Control for Mobile Manipulation
   With Series Elastic Actuators","In this paper, an integrated framework consisting of the sensing,
   navigation and control is proposed for an autonomous mobile manipulator
   driven by series elastic actuators (SEAs) to preform mobile manipulation
   tasks in unknown environments. First, ORB-SLAM2 technique is combined
   into the environment sensing by extracting the ORB features, automatic
   initialization, repositioning and loop detection for real-time posture
   estimation. Then, the navigation function is designed for generating
   collision-free trajectory in an environment with obstacles. To realize
   kinematic and dynamic control of the mobile manipulator with the
   developed SEA joints, the whole body dynamics is considered and
   described. And to handle dynamic uncertainties and the SEA inherent
   saturation limits, a novel adaptive neural network control considering
   the whole body dynamics is proposed. Without knowing the exact
   parameters of the whole body model, the designed controller merely
   requires the position and velocity of the actuators and links, which can
   make the tracking errors converge to zero and keep all signals uniformly
   bounded in the closed-loop system. The performance and efficiency of the
   proposed method are verified by extensive experiments.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2022.3156127,,,,"Ren, Xiaoqian and Liu, Yueyue and Hu, Yingbai and Li, Zhijun",,28.0,WOS:000767853800001,,,paper,integrated task sensing and whole body control for mobile manipulation with series elastic actuators,10.1109/tase.2022.3156127,https://doi.org/10.1109/tase.2022.3156127,https://doi.org/10.1109/tase.2022.3156127,166.142,citations=28; year=2023; risk_terms=1; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2022.3156127,True,202.0,https://ieeexplore.ieee.org/document/9732182/,text/html; charset=UTF-8,
