record_id,subgroup,x,y
pap_ai_4bd69b3635c183646fea,ai_vision,-1.01697,0.49460
pap_ai_1230c310049ca0b08f61,ai_language,2.15586,2.33546
pap_ai_1452054c9afedcd22f56,ai_other,-1.90686,1.31059
pap_ai_09af9a278b0551b95d13,ai_other,-0.88616,0.48392
pap_ai_cee1da264358f369fc16,ai_other,-1.67178,1.83993
pap_ai_a85bdbcb5046a0d4994b,ai_other,0.68909,8.28744
pap_ai_855eeadde1ad1ea986cb,ai_other,0.84319,-0.00945
pap_ai_37c5522c1cf1c100fe10,ai_language,-0.29248,0.62974
pap_ai_8aa5f31e3b44138a0598,ai_language,2.43096,2.09388
pap_ai_e08b2d93dca996eeaa9b,ai_other,0.87605,2.46960
pap_ai_fc5b4f051432973ea45c,ai_other,2.22820,1.44145
pap_ai_ba76b188195eb9cebd16,ai_other,1.32976,1.68188
pap_ai_0dfa624e5f362ffef1e8,ai_other,-0.88815,1.80596
pap_ai_2c6067156bd65c249a89,ai_other,1.94039,1.32462
pap_ai_5221b8411146a967cf9f,ai_other,-1.82733,1.04291
pap_ai_542e51c52cb66a703513,ai_other,0.75860,-0.36413
pap_ai_3d0e035ce628f421f703,ai_other,1.80833,0.78885
pap_ai_ae4bf1bb919035432f21,ai_other,2.16819,1.14928
pap_ai_05f75ee57635fcbfa392,ai_other,1.70312,3.60598
pap_ai_04f5a6f811b8478b4241,ai_other,0.12996,1.87495
pap_ai_c2fc722d6515b19d45a4,ai_other,1.59965,2.34260
pap_ai_3259bf50ce8a926bffd9,ai_other,-2.16442,1.83875
pap_ai_5c8f4f49cfe1dcbe3779,ai_other,-1.53711,2.18418
pap_ai_9254cebed800f3f9192f,ai_vision,-1.26043,2.41349
pap_ai_8d885f1107fce85d6578,ai_other,-1.85758,1.00958
pap_ai_3bfb9f624143836a6e7f,ai_other,-0.50906,2.54427
pap_ai_a19bdd082e59062ab65e,ai_other,0.74468,-0.38448
pap_ai_95521965c238e3665ab4,ai_other,0.37692,0.90542
pap_ai_53fd8336f84394723100,ai_other,0.54052,0.22601
pap_ai_b6feb6778e5504e4cabd,ai_other,-1.04727,2.57934
pap_ai_8b429ae7629dac40b5c0,ai_other,-0.11892,5.18430
pap_ai_8143bbfc6e50ff346f57,ai_other,-1.55867,1.30093
pap_ai_c5a56042ac7e415f6f62,ai_other,-1.38764,0.95465
pap_ai_400b843f08d5fbeae212,ai_other,-1.22374,2.43353
pap_ai_c52987536e72b1e46a6a,ai_other,-2.13695,2.34683
