card_id,l2_id,l2_name,l3_id,l3_name,card_label,reference_index,justification,reference_title,reference_url
PHYSBENCH-REF-0017,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),LLM Agent 탈옥 (Embodied LLM contextual jailbreak),1,"악성 지시를 피지컬 과업처럼 꾸미면 로봇이 안전 차단을 뚫고 위험 행동을 할 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0017,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),LLM Agent 탈옥 (Embodied LLM contextual jailbreak),2,"그림 1 은 프롬프트 주입이 사용자 입력을 거쳐 LLM 응답과 외부 동작 실행 경로를 바꾸는 구조를 보여준다 (A white-box prompt injection attack on emb…, 2026)",+ A white-box prompt injection attack on emb… (2026),https://doi.org/10.1016/j.jss.2026.112782
PHYSBENCH-REF-0017,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),LLM Agent 탈옥 (Embodied LLM contextual jailbreak),3,"LLM 물리 제어(드론) 탈옥 취약성 평가, 4종 데이터셋으로 안전 거부 측정 (LLM Physical Safety Benchmark, HF)",LLM Physical Safety Benchmark – Drone (TrustSafeAI…,https://huggingface.co/datasets/TrustSafeAI/llm_physical_safety_benchmark
PHYSBENCH-REF-0018,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),1,"위험한 행동도 말만 바꾸면 로봇이 안전한 작업으로 착각할 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0019,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 행동 기만 (Conceptual deception in physical action),1,"위험한 대상을 다른 말로 숨기면 로봇이 해로운 피지컬 행동을 그대로 실행할 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0020,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),악의적 행동 요청 (Malicious physical action query execution),1,"악성 요청이 그대로 실행되면 로봇이 폭력, 절도, 파괴 같은 행동을 할 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0022,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI 파괴 행위 (Embodied sabotage),1,"로봇이 장비나 시설을 망가뜨리도록 유도되면 피지컬 피해가 바로 생긴다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0023,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),사기·불법 실행 및 지원 (Embodied fraud or illegal-action execution),1,"로봇이 사기, 절도, 무단 침입 같은 불법 행동의 실행 도구가 될 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0024,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI의 혐오·학대 행동 (Hateful or abusive embodied action),1,"로봇이 사람을 향해 차별적이거나 위협적인 행동을 직접 수행할 수 있다 (Zhang et al., 2024)",BadRobot: Jailbreaking Embodied LLM Agents in the …,https://arxiv.org/pdf/2407.20242
PHYSBENCH-REF-0044,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어 명령 기반 로봇 정책 공격 (Language-instruction attack on robot policy),1,"악성 언어 명령이 로봇 정책을 바꾸면 안전하지 않은 행동이 실행될 수 있다 (Kojima et al., 2025)",A Comprehensive Survey on Physical Risk Control in…,https://www.ijcai.org/proceedings/2025/1168.pdf
PHYSBENCH-REF-0049,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),1,"상세 hazardous task는 위험 의도가 명시된 실내 로봇 명령을 에이전트가 거부하지 못하는지를 직접 측정한다 (Yin et al., 2025)",SafeAgentBench: A Benchmark for Safe Task Planning…,https://arxiv.org/pdf/2412.13178
PHYSBENCH-REF-0049,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),2,"명시적 물리 위험 명령에 대한 LLM 거부 여부 측정 데이터셋 (LLM Physical Safety Benchmark, HF)",LLM Physical Safety Benchmark (TrustSafeAI),https://huggingface.co/datasets/TrustSafeAI/llm_physical_safety_benchmark
PHYSBENCH-REF-0095,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),헌법적 안전 조향 실패 (Constitutional safety steering failure),1,"안전 원칙이 실제 로봇 행동 규칙으로 충분히 바뀌지 못할 수 있다 (Robot Constitutions, 2025)",Generating Robot Constitutions and Benchmarks for …,https://arxiv.org/pdf/2503.08663
PHYSBENCH-REF-0095,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),헌법적 안전 조향 실패 (Constitutional safety steering failure),2,"로봇 안전 명령 데이터셋, 헌법적 안전 조향 준수 여부 검증 (Robot Safety Commands, HF)",Robot Safety Commands (ermandmand),https://huggingface.co/datasets/ermandmand/robot-safety-commands
PHYSBENCH-REF-0097,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),페르소나 제약 실패 (Embodiment-persona constraint failure),1,"로봇 역할을 흉내 내는 모델이 실제 몸의 한계와 위험을 제대로 반영하지 못할 수 있다 (Robot Constitutions, 2025)",Generating Robot Constitutions and Benchmarks for …,https://arxiv.org/pdf/2503.08663
PHYSRISK-REF-0028,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),프롬프트→행동 주입 공격 (Prompt-to-act injection),1,"프롬프트 주입이 텍스트 응답을 넘어 로봇의 실제 행동으로 이어질 수 있다 (Slattery et al., 2024)",MITRE ATLAS,https://atlas.mitre.org/
PHYSRISK-REF-0028,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),프롬프트→행동 주입 공격 (Prompt-to-act injection),2,"입력 교란이 시스템 행동을 바꾸는 공격면을 보여준다 (Phantom in the opera: adversarial music at…, 2024)",+ Phantom in the opera: adversarial music at… (2024),https://doi.org/10.3389/fcomp.2024.1355975
PHYSRISK-REF-0043,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),1,"로봇의 팔과 이동 기능이 공격 도구로 바뀌면 사람이 직접 다칠 수 있다 (Boston Dynamics et al., 2022)",Open letter on the weaponization of general-purpos…,https://www.bostondynamics.com/no-weaponization
PHYSRISK-REF-0043,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),조작·이동 능력 공격 전용화 (Manipulation/mobility repurposed for attack),2,"로봇 시스템이 사이버 공격을 받으면 피지컬 행동도 흔들릴 수 있다 (Detection of Cyber-attacks to indoor real …, 2018)",+ Detection of Cyber-attacks to indoor real … (2018),https://doi.org/10.1016/j.robot.2017.10.006
