respondent_id,assignment_block,card_id,display_id,reference_assignment,original_selected_l3,original_confidence,revised_selected_l3,changed
R-6727de20305f,A05,PHYSBENCH-REF-0064,V014,P3.1,P3.4,3,P3.1,True
R-6727de20305f,A05,PHYSBENCH-REF-0077,V018,P3.1,P3.2,3,P3.1,True
R-6727de20305f,A05,PHYSBENCH-REF-0090,V020,P3.1,P3.2,3,P3.2,False
R-951c8affb6d8,A04,PHYSBENCH-REF-0039,V006,P3.1,P3.4,4,P3.4,False
R-951c8affb6d8,A04,PHYSBENCH-REF-0065,V137,I3.7,I3.6,4,I3.6,False
R-951c8affb6d8,A04,PHYSBENCH-REF-0008,V025,P3.2,P3.5,3,P3.5,False
R-a027ac600680,A08,PHYSBENCH-REF-0071,V016,P3.1,P3.5,4,P3.5,False
R-a027ac600680,A08,PHYSBENCH-REF-0081,V019,P3.1,P3.2,4,P3.2,False
R-a027ac600680,A08,PHYSRISK-REF-0031,V112,I3.3,I3.2,3,I3.2,False
R-ea6ca044ebf8,A12,PHYSBENCH-REF-0057,V012,P3.1,P3.5,4,P3.1,True
R-ea6ca044ebf8,A12,PHYSBENCH-REF-0026,V033,P3.2,P3.1,4,P3.2,True
R-ea6ca044ebf8,A12,PHYSRISK-REF-0041,V065,P3.2,P3.5,4,P3.2,True
