card_id,label,reference_l3,n,agreement,agreement_rate,mean_confidence,selected_counts
PHYSBENCH-REF-0022,피지컬 AI 파괴 행위 (Embodied sabotage),I3.1,2,0,0.0,3,I3.4:2
PHYSBENCH-REF-0043,로봇 백도어 공격 취약성 (Robotic backdoor attack vulnerability),I3.3,2,0,0.0,3,I3.4:2
PHYSBENCH-REF-0065,휴머노이드 균형 상실 및 낙상 위험 (Humanoid balance-loss and fall risk),I3.7,2,0,0.0,3,I3.6:2
PHYSRISK-REF-0031,핵심 인프라 로봇 파괴 (Critical infrastructure robotic sabotage),I3.3,2,0,0.0,2,I3.2:2
PHYSRISK-REF-0054,동료 로봇의 감시 노드 전용화 (Co-worker robot as surveillance node),S3.4,2,0,0.0,4,S3.3:2
PHYSBENCH-REF-0012,복합 물리적 제약 위반 (Compositional physical constraint violation),P3.1,1,0,0.0,3,P3.5:1
PHYSBENCH-REF-0016,하드웨어 한계 리스크 (Embodiment-specific hardware limitation failure),P3.3,1,0,0.0,3,P3.2:1
PHYSBENCH-REF-0026,위험 도구 작업 공간 침입 (Hazardous-tool workspace intrusion),P3.2,1,0,0.0,4,P3.1:1
PHYSBENCH-REF-0039,물리적 상호작용 안전 공백 (Physical interaction safety control gap),P3.1,1,0,0.0,4,P3.4:1
PHYSBENCH-REF-0058,로봇 형태 전이 리스크 (Robot morphology transfer risk),P3.1,1,0,0.0,2,P3.4:1
PHYSBENCH-REF-0063,시각-촉각 모달리티 불일치 (Visual-tactile modality mismatch),I3.6,1,0,0.0,2,I3.9:1
PHYSBENCH-REF-0064,인간 시연 전이 모호성 (Human demonstration transfer ambiguity),P3.1,1,0,0.0,3,P3.4:1
PHYSBENCH-REF-0077,모션 리타겟팅 안전 실패 (Motion-retargeting safety failure),P3.1,1,0,0.0,3,P3.2:1
PHYSBENCH-REF-0081,휴머노이드 제로샷 전이 불안정성 (Zero-shot humanoid sim-to-real instability),P3.1,1,0,0.0,4,P3.2:1
PHYSBENCH-REF-0090,장기 예측 누적 오차 (Long-horizon rollout drift),P3.1,1,0,0.0,3,P3.2:1
PHYSBENCH-REF-0092,미래 접촉 예측 실패 (Future contact prediction failure),I3.5,1,0,0.0,2,I3.4:1
PHYSBENCH-REF-0094,로봇 헌법 커버리지 공백 (Robot constitution coverage gap),S3.6,1,0,0.0,1,S3.7:1
PHYSKR-REF-017,피지컬 AI 사고 보고 체계 부재 (Absence of standardized embodied-incident reporting),S3.6,1,0,0.0,2,S3.9:1
PHYSRISK-REF-0009,동적 장애물 반응 실패 (Dynamic obstacle response failure),P3.2,1,0,0.0,4,P3.5:1
PHYSRISK-REF-0030,로봇의 무기화 오남용 (Robot-as-weapon misuse),I3.1,1,0,0.0,4,I3.2:1
PHYSRISK-REF-0041,산업 공정 피해 (Industrial process damage),P3.2,1,0,0.0,4,P3.5:1
PHYSBENCH-REF-0071,휴머노이드 행동 재현성 공백 (Humanoid behavior reproducibility gap),P3.1,3,1,0.3333333333333333,3.6666666666666665,P3.5:2; P3.1:1
PHYSBENCH-REF-0002,물리적 위험 인지 실패 (Physical danger perception failure),I3.4,2,1,0.5,4,I3.4:1; I3.6:1
PHYSBENCH-REF-0008,열·온도 제약 위반 (Thermal constraint violation),P3.2,2,1,0.5,3,P3.5:1; P3.2:1
PHYSBENCH-REF-0037,사고 전 위험 완화 공백 (Pre-incident mitigation gap),S3.6,2,1,0.5,3,S3.6:1; S3.9:1
PHYSBENCH-REF-0057,구현체 간 행동 공간 불일치 (Cross-embodiment action-space mismatch),P3.1,2,1,0.5,4,P3.1:1; P3.5:1
PHYSBENCH-REF-0080,가정 환경 양팔 조작 위험 (Home-environment bimanual manipulation hazard),P3.2,2,1,0.5,3,P3.2:1; P3.1:1
PHYSBENCH-REF-0089,휴머노이드 세계 모델 환각 (Humanoid world-model hallucination),I3.5,2,1,0.5,3.5,I3.4:1; I3.5:1
PHYSBENCH-REF-0091,잠재 상태 압축 안전 손실 (Latent-state compression safety loss),I3.5,2,1,0.5,3.5,I3.5:1; I3.4:1
PHYSBENCH-REF-0113,휴머노이드 안전 집행 공백 (Humanoid safety enforcement mechanism gap),S3.6,2,1,0.5,2.5,S3.7:1; S3.6:1
PHYSRISK-REF-0036,피지컬 자동화 노동 대체 (Embodied automation labor displacement),S3.2,2,1,0.5,3.5,S3.2:1; S3.9:1
