respondent_id,assignment_block,source_format,file,display_id,card_id,candidate_a,candidate_b,reference_assignment,selected,confidence,comment,agreement,ref_recovered
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V035,PHYSBENCH-REF-0028,P3.2,P3.5,P3.2,P3.2,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V163,PHYSBENCH-REF-0093,S3.5,S3.3,S3.5,S3.5,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V155,PHYSRISK-REF-0035,S3.1,S3.4,S3.1,S3.1,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V147,PHYSBENCH-REF-0096,I3.7,I3.8,I3.8,I3.8,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V007,PHYSBENCH-REF-0045,P3.1,P3.2,P3.1,P3.1,3,"제약을 감지 못한 상황이고, 움직임/제어 오류는 제약을 감지하였으나 제어에 실패한 case이므로 의도하지 않은 피해에 가깝다고 판단",1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V181,PHYSRISK-REF-0022,S3.1,S3.8,S3.8,S3.8,4,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V081,PHYSBENCH-REF-0060,P3.5,P3.4,P3.5,P3.5,4,"학습 데이터에 없는 환경에 대한 불확실성은 소프트웨어 설계 결함으로 보기 어려움 (예: MNIST 손글씨 분류 모델로 개/고양이 이미지 분류 시도)
'범용' 로봇 정책이므로 낯선 환경 또는 예외 케이스에 대해서도 안전하게 동작하기를 기대해야 하므로, A가 적절하다고 판단",1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V042,PHYSBENCH-REF-0068,P3.3,P3.2,P3.2,P3.2,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V072,PHYSRISK-REF-0038,P3.4,P3.3,P3.4,P3.4,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V009,PHYSBENCH-REF-0050,P3.1,P3.4,P3.1,P3.1,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V169,PHYSBENCH-REF-0109,S3.6,S3.4,S3.6,S3.6,3,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V016,PHYSBENCH-REF-0071,P3.1,P3.5,P3.1,P3.1,4,가상/현실 환경의 괴리로 의도하지 않은 피해 발생이므로 A,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V144,PHYSRISK-REF-0040,I3.8,I3.7,I3.7,I3.7,5,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V119,PHYSBENCH-REF-0091,I3.4,I3.5,I3.5,I3.5,3,"compact시 중요 정보에 대한 우선순위 판별을 못한 상황으로, 그나마 B가 유사",1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V030,PHYSBENCH-REF-0014,P3.2,P3.3,P3.2,P3.2,3,,1,False
R-4e32b07fe24b,A01,json,R-4e32b07fe24b_65241bd9-b23d-4772-95ed-d35ec7456881.json,V116,PHYSRISK-REF-0007,I3.5,I3.4,I3.4,I3.4,4,,1,False
