match_score,card_idx,card_badge,card_label,card_refs_before,overlap_tags,rank,source_file,year,title,abstract,venue,institution,document_type,doi,url,landing_page_url,pdf_url,authors,first_author,citations,record_id,matched_terms,matched_l3,record_type,title_key,doi_key,candidate_url,url_key,score,selection_reason,checked_url,access_ok,status_code,final_url,content_type,access_error,skip_reason
1.31,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,drone;privacy;vehicle,350,,2025,UAV-based intelligent traffic surveillance using recurrent neural networks and Swin transformer for dynamic environments,"Introduction: Urban traffic congestion, environmental degradation, and road safety challenges necessitate intelligent aerial robotic systems capable of real-time adaptive decision-making. Unmanned Aerial Vehicles (UAVs), with their flexible deployment and high vantage point, offer a promising solution for large-scale traffic surveillance in complex urban environments. This study introduces a UAV-based neural framework that addresses challenges such as asymmetric vehicle motion, scale variations, and spatial inconsistencies in aerial imagery. Methods: The proposed system integrates a multi-stage pipeline encompassing contrast enhancement and region-based clustering to optimize segmentation while maintaining computational efficiency for resource-constrained UAV platforms. Vehicle detection is carried out using a Recurrent Neural Network (RNN), optimized via a hybrid loss function combining cross-entropy and mean squared error to improve localization and confidence estimation. Upon detection, the system branches into two neural submodules: (i) a classification stream utilizing SURF and BRISK descriptors integrated with a Swin Transformer backbone for precise vehicle categorization, and (ii) a multi-object tracking stream employing DeepSORT, which fuses motion and appearance features within an affinity matrix for robust trajectory association. Results: Comprehensive evaluation on three benchmark UAV datasets-AU-AIR, UAVDT, and VAID shows consistent and high performance. The model achieved detection precisions of 0.913, 0.930, and 0.920; tracking precisions of 0.901, 0.881, and 0.890; and classification accuracies of 92.14, 92.75, and 91.25%, respectively. Discussion: These findings highlight the adaptability, robustness, and real-time viability of the proposed architecture in aerial traffic surveillance applications. By effectively integrating detection, classification, and tracking within a unified neural framework, the system contributes significant advancements to intelligent UAV-based traffic monitoring and supports future developments in smart city mobility and decision-making systems.",Frontiers in Neurorobotics,Frontiers Media,article,10.3389/fnbot.2025.1681341,https://openalex.org/W4415097807,https://doi.org/10.3389/fnbot.2025.1681341,,"['Mohammed S. Alshehri', 'Ting Wu', 'Nouf Abdullah Almujally', 'Yahya Alqahtani', 'Muhammad Hanzla', 'Ahmad Jalal', 'Hui Liu']",Mohammed S. Alshehri,17.0,https://openalex.org/W4415097807,autonomous system | autonomous systems | path planning | robot | robotic | robotics | uav | unmanned,UAV Path Planning,paper,uav based intelligent traffic surveillance using recurrent neural networks and swin transformer for dynamic environments,10.3389/fnbot.2025.1681341,https://doi.org/10.3389/fnbot.2025.1681341,https://doi.org/10.3389/fnbot.2025.1681341,148.465,citations=17; year=2025; risk_terms=4; physical_terms=4,https://doi.org/10.3389/fnbot.2025.1681341,True,200,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2025.1681341/full,text/html;charset=utf-8,,one_new_ref_per_card_this_pass
1.285,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,drone;privacy;vehicle,259,,2020,"Reinforcement learning based two-level control framework of UAV swarm
   for cooperative persistent surveillance in an unknown urban area","Persistent surveillance in a complex unknown urban area by an unmanned
   aerial vehicle (UAV) swarm is a low-cost, promising future application
   for anti-terrorism, disaster monitoring, and battlefield situational
   awareness. Based on over-simplified simulated surroundings and a UAV
   dynamic model, a few remarkable approaches have been proposed; however,
   they typically rely on non-sensor-based inputs and prior knowledge on
   the environment or targets. To overcome these limitations, based on
   simulated city blocks, a two-level quasi-distributed control framework
   is proposed for realizing the continuous control of a UAV swarm in two
   defined surveillance phases. With the support of a well-trained and
   corrected artificial neural network (ANN) in low-level UAV manoeuvre
   control for target homing and collision avoidance, several preliminary
   high-level target allocation strategies are designed for a cooperative
   overall objective based on the synchronization of local surveillance
   data. Then, via a series of numerical simulations, an optimal high-level
   strategy combination is identified. Finally, the surveillance
   performance of this strategy combination is evaluated under various
   swarm sizes and UAV launching patterns. The simulation results
   demonstrate that the proposed control framework is applicable for UAV
   swarm control in the persistent surveillance of unknown urban areas. (C)
   2019 Elsevier Masson SAS. All rights reserved.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2019.105671,,,,"Liu, Yuxuan and Liu, Hu and Tian, Yongliang and Sun, Cong",,104.0,WOS:000521508000013,,,paper,reinforcement learning based two level control framework of uav swarm for cooperative persistent surveillance in an unknown urban area,10.1016/j.ast.2019.105671,https://doi.org/10.1016/j.ast.2019.105671,https://doi.org/10.1016/j.ast.2019.105671,155.155,citations=104; year=2020; risk_terms=1; physical_terms=3; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2019.105671,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1270963819309939,text/html;charset=UTF-8,,one_new_ref_per_card_this_pass
1.28,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,244,,2018,DroNet: Learning to Fly by Driving,"Civilian drones are soon expected to be used in a wide variety of tasks,
   such as aerial surveillance, delivery, or monitoring of existing
   architectures. Nevertheless, their deployment in urban environments has
   so far been limited. Indeed, in unstructured and highly dynamic
   scenarios, drones face numerous challenges to navigate autonomously in a
   feasible and safe way. In contrast to traditional
   ``map-localize-plan{''} methods, this letter explores a data-driven
   approach to cope with the above challenges. To accomplish this, we
   propose DroNet: a convolutional neural network that can safely drive a
   drone through the streets of a city. Designed as a fast eight-layers
   residual network, DroNet produces two outputs for each single input
   image: Asteering angle to keep the drone navigating while avoiding
   obstacles, and a collision probability to let the UAV recognize
   dangerous situations and promptly react to them. The challenge is
   however to collect enough data in an unstructured outdoor environment
   such as a city. Clearly, having an expert pilot providing training
   trajectories is not an option given the large amount of data required
   and, above all, the risk that it involves for other vehicles or
   pedestrians moving in the streets. Therefore, we propose to train a UAV
   from data collected by cars and bicycles, which, already integrated into
   the urban environment, would not endanger other vehicles and
   pedestrians. Although trained on city streets from the viewpoint of
   urban vehicles, the navigation policy learned by DroNet is highly
   generalizable. Indeed, it allows a UAV to successfully fly at relative
   high altitudes and even in indoor environments, such as parking lots and
   corridors. To share our findings with the robotics community, we
   publicly release all our datasets, code, and trained networks.",IEEE ROBOTICS AND AUTOMATION LETTERS,,Article,10.1109/LRA.2018.2795643,,,,"Loquercio, Antonio and Maqueda, Ana I. and del-Blanco, Carlos R. and
   Scaramuzza, Davide",,370.0,WOS:000424646100032,,,paper,dronet learning to fly by driving,10.1109/lra.2018.2795643,https://doi.org/10.1109/lra.2018.2795643,https://doi.org/10.1109/lra.2018.2795643,155.827,citations=370; year=2018; risk_terms=3; physical_terms=5,https://doi.org/10.1109/lra.2018.2795643,True,202,https://ieeexplore.ieee.org/document/8264734/,text/html; charset=UTF-8,,card_reference_limit_5
1.255,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,369,,2021,"Review of wheeled mobile robot collision avoidance under unknown
   environment","Recently, the working scenes of the robot have been emerging as
   diversity and complexity with gradually mature of robotic control
   technology. The challenge of robot adaptability emerges, especially in
   complicated and unknown environments. Among the numerous researches on
   improving the adaptability of robots, aiming at avoiding collision
   between robot and external environment, obstacle avoidance has drawn
   much attention. Compared to the global circumvention requiring the
   environmental information that is known, the local obstacle avoidance is
   a promising method due to the environment is possibly dynamic and
   unknown. This study is aimed at making a review of research progress
   about local obstacle avoidance methods for wheeled mobile robots (WMRs)
   under complex unknown environment in the last 20 years. Sensor-based
   obstacle perception and identification is first introduced. Then,
   obstacle avoidance methods related to WMRs' motion control are reviewed,
   mainly including artificial potential field (APF)-based,
   population-involved meta heuristic-based, artificial neural network
   (ANN)-based, fuzzy logic (FL)-based and quadratic optimization-based,
   etc. Next, the relevant research on Unmanned Ground Vehicles (UGVs) is
   surveyed. Finally, conclusion and prospection are given. Appropriate
   obstacle avoidance methods should be chosen based on the specific
   requirements or criterion. For the moment, effective fusion of multiple
   obstacle avoidance methods is becoming a promising method.",SCIENCE PROGRESS,,Review,10.1177/00368504211037771,,,,"Wang, Yong and Li, Xiaoxiao and Zhang, Juan and Li, Shuai and Xu, Zhihao
   and Zhou, Xuefeng",,28.0,WOS:000697994000001,,,paper,review of wheeled mobile robot collision avoidance under unknown environment,10.1177/00368504211037771,https://doi.org/10.1177/00368504211037771,https://doi.org/10.1177/00368504211037771,147.142,citations=28; year=2021; risk_terms=1; physical_terms=5; prestige_venue=mandatory_candidate,https://doi.org/10.1177/00368504211037771,True,200,https://journals.sagepub.com/doi/10.1177/00368504211037771,text/html;charset=UTF-8,,card_reference_limit_5
1.255,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,397,,2020,"Towards a PDE-based large-scale decentralized solution for path planning
   of UAVs in shared airspace","Recently, there has been a tremendous increase of interest in utilizing
   Unmanned Aerial Vehicles (UAVs) for a number of civilian applications.
   With this increased interest, it is imperative that these UAVs are able
   to operate in shared airspace for enhanced efficiency. Multi-UAV systems
   are inherently safety-critical systems, which means that safety
   guarantees must be made to ensure no undesirable configurations, such as
   collisions, occur. This paper proposes a decentralized method based on a
   Partial Differential Equation (PDE) to generate collision-free 3D
   trajectories for multiple UAVs operating in a shared airspace. This
   method exploits the dynamical properties of multi-phase fluids flowing
   through a porous medium by modeling the porosity values as a function of
   the risk of collision. To highlight the feasibility for onboard
   implementation, we propose propose a machine learning technique for
   obtaining computationally efficient solutions of the PDE describing flow
   movements in porous medium. This method has been compared via a
   simulation study to two other path planning strategies, centralized and
   sequential planning, and the advantages of this method are presented.
   Furthermore, results from an experiment using three UAVs have been
   presented to demonstrate the applicability of the proposed method to
   real world implementation. (c) 2020 Elsevier Masson SAS. All rights
   reserved.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2020.105965,,,,"Radmanesh, Reza and Kumar, Manish and French, Donald and Casbeer, David",,35.0,WOS:000573517400005,,,paper,towards a pde based large scale decentralized solution for path planning of uavs in shared airspace,10.1016/j.ast.2020.105965,https://doi.org/10.1016/j.ast.2020.105965,https://doi.org/10.1016/j.ast.2020.105965,145.169,citations=35; year=2020; risk_terms=4; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2020.105965,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1270963820306477,text/html;charset=UTF-8,,card_reference_limit_5
1.23,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,53,,2025,"Behaviorally-Aware Multi-Agent RL With Dynamic Optimization for
   Autonomous Driving","This study presents a novel Multi-Agent Reinforcement Learning (MURL)
   architecture for autonomous vehicle (AV) navigation in complex urban
   traffic environments. By integrating a Social Value Orientation (SVO)
   model into a model-free SARSA reinforcement learning framework, our
   approach effectively balances individual agents' social preferences with
   safety and performance objectives. A logistic regression-based risk
   assessment module evaluates collision probabilities in real time by
   analyzing spatiotemporal dynamics such as distances and velocities.
   Additionally, a dynamic optimizer adapts the learning rate and
   exploration strategies of the SARSA algorithm to provide efficient
   convergence to optimal policies. Extensive simulation experiments
   demonstrate that the proposed method significantly enhances safety and
   efficiency, achieving a 55.6\% reduction in collision risk and
   increasing average rewards per episode by 2.1 compared to traditional
   SARSA without SVO. Furthermore, the optimized policy reduces average
   episode length, indicating the framework's effectiveness in providing
   robust decision-making and adaptability across various traffic
   scenarios. Note to Practitioners-The proposed framework in this paper is
   driven by the demand for comprehensive navigation systems in the rapidly
   evolving field of connected and autonomous vehicles (CAVs), especially
   within complex and unpredictable urban environments and mixed traffic
   scenarios. As AVs are getting more and more attention, the capacity to
   navigate effectively among many road users, including other AVs,
   pedestrians, and human-driven vehicles, is essential. Our framework
   builds upon the SARSA algorithm to produce an optimal policy for the AV
   and integrates a dynamic optimization method that represents the concept
   of risk as the inverse logistic of potential collisions. Distinctive to
   our proposed model is a finely-tuned Social Value Orientation (SVO) that
   captures the nuanced social dynamics between multiple autonomous agents,
   spanning a continuum from self-interested to entirely cooperative
   behaviors. This allows AVs to make decisions socially and cooperatively.
   This framework significantly influences the AV navigation sector by
   contributing to the development of secure, human-centric, and reliable
   transportation systems. Its multi-agent focus and the incorporation of
   dynamic optimization emphasize its potential to facilitate a network of
   AVs that interact with diverse road users, thus improving scalability.
   The robustness and adaptability of this machine learning-powered
   solution are crucial for navigating the varied scenarios that
   characterize urban driving, ensuring that AVs can adapt to changing
   conditions and make decisions that benefit all road users.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2025.3527327,,,,"Taghavifar, Hamid and Hu, Chuan and Wei, Chongfeng and Mohammadzadeh,
   Ardashir and Zhang, Chunwei",,13.0,WOS:001463995900036,,,paper,behaviorally aware multi agent rl with dynamic optimization for autonomous driving,10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,https://doi.org/10.1109/tase.2025.3527327,176.947,citations=13; year=2025; risk_terms=5; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2025.3527327,True,202,https://ieeexplore.ieee.org/document/10833800/,text/html; charset=UTF-8,,card_reference_limit_5
1.23,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,220,,2024,"Autonomous navigation of marine surface vessel in extreme encounter
   situation","With the development of artificial intelligence (AI) technology, the
   autonomous navigation and behavior decision-making capabilities of MASS
   (marine autonomous surface ship) are constantly being innovated, thereby
   ensuring their safe navigation. However, the recent algorithms exhibit
   limited efficacy in navigating in unknown and complex environments,
   while also lacking the capability to effectively handle the encounters
   resulting from the uncertain behavior of other ships. Consequently, this
   study proposes an intelligent navigation methodology utilizing the PRM
   (Probabilistic Roadmap) and PPO (Proximal Policy Optimization) algorithm
   to facilitate autonomous navigation and collision avoidance
   decision-making for MASS. Moreover, the MASS disciplined behaviors
   prescribed by COLREGs are taken into the consideration of the reward
   function design. Particularly, in extreme encounter situation, it
   becomes necessary for MASS to depart from COLREGs, thus requiring a
   corresponding definition of the reward function. Finally, the autonomous
   navigation and decision-making capability of the MASS is evaluated using
   real-time ship traffic in a voyage scenario, while various extreme
   encounter situations are also simulated to demonstrate the generality
   and practicality of the proposed PRM-PPO method.",JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,,Article,10.1007/s00773-023-00979-w,,,,"Guan, Wei and Han, Husheng and Cui, Zhewen",,13.0,WOS:001137659400001,,,paper,autonomous navigation of marine surface vessel in extreme encounter situation,10.1007/s00773-023-00979-w,https://doi.org/10.1007/s00773-023-00979-w,https://doi.org/10.1007/s00773-023-00979-w,156.947,citations=13; year=2024; risk_terms=2; physical_terms=1; prestige_venue=mandatory_candidate,https://doi.org/10.1007/s00773-023-00979-w,True,200,https://link.springer.com/article/10.1007/s00773-023-00979-w,text/html; charset=utf-8,,card_reference_limit_5
1.23,119,PHYSRISK-REF-0001,가림에 의한 충돌 (Occlusion-induced collision),4,collision;navigation;vehicle,264,,2025,"3D RVO-enhanced multi-agent deep reinforcement learning for collision
   avoidance in urban structured airspace","During the initial phase of urban air mobility development, establishing
   predefined air routes and constructing structured airspace for unmanned
   aerial vehicles (UAVs) is fundamental to ensuring safe and efficient
   operations. This underscores the critical need for research on multi-UAV
   collision avoidance methodologies in structured airspace. The primary
   challenge of collision avoidance in structured airspace lies in
   reconciling airspace structural constraints with the safety-efficiency
   tradeoff while guaranteeing collision-free operations. This study
   presents a reinforcement learning-based framework for resolving
   multi-UAV conflicts in structured airspace. Firstly, a conflict
   characterization model is established using the 3D Reciprocal Velocity
   Obstacles (RVO) principle, where the 3D RVO regions of neighbouring UAVs
   are computed to generate single-agent observation vectors, enabling
   quantitative conflict situation awareness. Subsequently, a neural
   network architecture processing variable-dimensional inputs is devised
   to directly map dynamic observations to UAV control commands.
   Furthermore, a multi-objective reward function incorporating 3D RVO
   regions, path deviation, time-to-collision prediction, and velocity
   preservation is formulated, with collision avoidance policy optimization
   achieved through an actor-critic algorithm. Experimental results
   demonstrate that the proposed method effectively avoids collision while
   optimizing resolution costs. In crossing conflict scenario involving up
   to four UAVs, the framework attains a 100 \% resolution success rate,
   with path deviations constrained within 5.8 meters and additional flight
   distances below 10 \%. Notably, the flight trajectory smoothness shows
   significant improvement. In an eight-UAV structured airspace scenario,
   all vehicles successfully reach sequential waypoints in collision-free
   trajectories.",AEROSPACE SCIENCE AND TECHNOLOGY,,Article,10.1016/j.ast.2025.110378,,,,"Zhong, Gang and Liu, Yupu and Du, Sen and Wang, Fei and Zhou, Jinlun and
   Zhang, Honghai",,5.0,WOS:001506699000001,,,paper,3d rvo enhanced multi agent deep reinforcement learning for collision avoidance in urban structured airspace,10.1016/j.ast.2025.110378,https://doi.org/10.1016/j.ast.2025.110378,https://doi.org/10.1016/j.ast.2025.110378,155.085,citations=5; year=2025; risk_terms=3; physical_terms=2; prestige_venue=mandatory_candidate,https://doi.org/10.1016/j.ast.2025.110378,True,200,https://linkinghub.elsevier.com/retrieve/pii/S1270963825004493,text/html;charset=UTF-8,,card_reference_limit_5
1.225,80,PHYSRISK-REF-0020,실시간 지연 및 동기화 실패 (Real-time latency and synchronization failure),3,drone;privacy;vehicle,240,,2022,"A Survey on the Convergence of Edge Computing and AI for UAVs:
   Opportunities and Challenges","The latest 5G mobile networks have enabled many exciting Internet of
   Things (IoT) applications that employ unmanned aerial vehicles
   (UAVs/drones). The success of most UAV-based IoT applications is heavily
   dependent on artificial intelligence (AI) technologies, for instance,
   computer vision and path planning. These AI methods must process data
   and provide decisions while ensuring low latency and low energy
   consumption. However, the existing cloud-based AI paradigm finds it
   difficult to meet these strict UAV requirements. Edge AI, which runs AI
   on-device or on edge servers close to users, can be suitable for
   improving UAV-based IoT services. This article provides a comprehensive
   analysis of the impact of edge AI on key UAV technical aspects (i.e.,
   autonomous navigation, formation control, power management, security and
   privacy, computer vision, and communication) and applications (i.e.,
   delivery systems, civil infrastructure inspection, precision
   agriculture, search and rescue (SAR) operations, acting as aerial
   wireless base stations (BSs), and drone light shows). As guidance for
   researchers and practitioners, this article also explores UAV-based edge
   AI implementation challenges, lessons learned, and future research
   directions.",IEEE INTERNET OF THINGS JOURNAL,,Review,10.1109/JIOT.2022.3176400,,,,"McEnroe, Patrick and Wang, Shen and Liyanage, Madhusanka",,324.0,WOS:000846738200007,,,paper,a survey on the convergence of edge computing and ai for uavs opportunities and challenges,10.1109/jiot.2022.3176400,https://doi.org/10.1109/jiot.2022.3176400,https://doi.org/10.1109/jiot.2022.3176400,155.974,citations=324; year=2022; risk_terms=2; physical_terms=4,https://doi.org/10.1109/jiot.2022.3176400,True,202,https://ieeexplore.ieee.org/document/9778241/,text/html; charset=UTF-8,,one_new_ref_per_card_this_pass
1.171,54,PHYSBENCH-REF-0055,제어 장벽 함수 실패 (Control barrier function safety-filter failure),2,collision;uncertainty,22,,2024,"Adaptive Safety-Critical Control With Uncertainty Estimation for
   HumanRobot Collaboration","In advanced manufacturing, strict safety guarantees are required to
   allow humans and robots to work together in a shared workspace. One of
   the challenges in this application field is the variety and
   unpredictability of human behavior, leading to potential dangers for
   human coworkers. This paper presents a novel control framework by
   adopting safety-critical control and uncertainty estimation for
   human-robot collaboration. Additionally, to select the shortest path
   during collaboration, a novel quadratic penalty method is presented. The
   innovation of the proposed approach is that the proposed controller will
   prevent the robot from violating any safety constraints even in cases
   where humans move accidentally in a collaboration task. This is
   implemented by the combination of a time-varying integral barrier
   Lyapunov function (TVIBLF) and an adaptive exponential control barrier
   function (AECBF) to achieve a flexible mode switch between path tracking
   and collision avoidance with guaranteed closed-loop system stability.
   The performance of our approach is demonstrated in simulation studies on
   a 7-DOF robot manipulator. Additionally, a comparison between the tasks
   involving static and dynamic targets is provided.",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,Article,10.1109/TASE.2023.3320873,,,,"Zhang, Dianhao and Van, Mien and Mcllvanna, Stephen and Sun, Yuzhu and
   McLoone, Sean",,11.0,WOS:001340323100090,,,paper,adaptive safety critical control with uncertainty estimation for humanrobot collaboration,10.1109/tase.2023.3320873,https://doi.org/10.1109/tase.2023.3320873,https://doi.org/10.1109/tase.2023.3320873,184.789,citations=11; year=2024; risk_terms=5; physical_terms=4; prestige_venue=mandatory_candidate,https://doi.org/10.1109/tase.2023.3320873,True,202,https://ieeexplore.ieee.org/document/10281398/,text/html; charset=UTF-8,,one_new_ref_per_card_this_pass
