card_id,l2_id,l2_name,l3_id,l3_name,label,definition,justification_count,reference_link_count,meta_text
PHYSBENCH-REF-0017,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),LLM Agent 탈옥 (Embodied LLM contextual jailbreak),공격자가 피지컬 작업 맥락으로 프레임을 구성하여 embodied LLM 에이전트가 안전 제한을 우회하고 악의적 피지컬 행동을 수용하도록 유도하는 위험. (An attacker frames a physical task context so an embodied LLM agent bypasses safety restrictions and accepts malicious physical action instructions.),3,3,심각도 4.20 확률 0.55 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0018,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어-행동 안전 정렬 실패 (Linguistic-action safety misalignment),피지컬하게 유해한 지시를 언어적으로 재구성하여 모델이 비안전한 피지컬 세계 행동을 무해한 작업으로 처리하도록 유도하는 위험. (A physically harmful instruction is linguistically reframed so the model treats unsafe real-world action as benign or task-compliant.),1,1,심각도 4.00 확률 0.58 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0019,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),물리적 행동 기만 (Conceptual deception in physical action),"공격자가 간접 개념·대체 표현·완곡어법을 사용하여 로봇 또는 embodied 에이전트가 유해한 피지컬 행동을 수행하도록 유도하는 위험. (The attacker uses indirect concepts, substitutions, or euphemisms to induce a robot or embodied agent to perform a harmful physical action.)",1,1,심각도 4.10 확률 0.52 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0020,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),악의적 행동 요청 (Malicious physical action query execution),"embodied LLM 에이전트가 피지컬 위해·프라이버시 침해·파괴·사기 등을 요청하는 사용자 쿼리를 수용하고 실행하는 위험. (An embodied LLM agent accepts and executes a user query that requests physical harm, privacy violation, sabotage, fraud, illegal activity, or hateful conduct.)",1,1,심각도 4.50 확률 0.45 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0022,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI 파괴 행위 (Embodied sabotage),"피지컬 AI 시스템이 장비·인프라 또는 다른 피지컬 시스템을 손상·무력화·방해·변조하도록 유도되는 위험. (A physical AI system is induced to damage, disable, obstruct, or tamper with equipment, infrastructure, or other physical assets.)",1,1,심각도 4.40 확률 0.38 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0023,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),사기·불법 실행 및 지원 (Embodied fraud or illegal-action execution),"embodied 에이전트가 사기·절도·침입·탈세 등 불법 물리 행위를 수행하거나 실질적으로 지원하는 위험. (An embodied agent carries out or materially assists fraud, theft, trespass, evasion, or other illegal physical-world actions.)",1,1,심각도 4.00 확률 0.40 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0024,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),피지컬 AI의 혐오·학대 행동 (Hateful or abusive embodied action),"피지컬 AI 시스템이 사람들을 향한 차별적·괴롭힘·위협·학대적 행동을 수행하도록 유도되는 위험. (A physical AI system is directed to perform discriminatory, harassing, intimidating, or abusive actions toward people in shared environments.)",1,1,심각도 3.80 확률 0.40 BadRobot: Jailbreaking Embodied LLM Agents in the …
PHYSBENCH-REF-0031,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),영상-행동 공격 안전 위반 (Safety violation under video-action attack),"공격자가 인지-행동 시퀀스를 조작하여 로봇 에이전트가 중대·위험·치명적 안전 규칙을 위반하게 하는 위험. (An attacker manipulates perception-action sequences so a robotic agent violates critical, dangerous, or risky safety rules.)",0,0,심각도 4.20 확률 0.40
PHYSBENCH-REF-0044,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),언어 명령 기반 로봇 정책 공격 (Language-instruction attack on robot policy),"악의적 언어 지시·접미사·프롬프트가 의도된 로봇 정책을 변경하여 비안전 피지컬 행동을 유발하는 위험. (Malicious language instructions, suffixes, or prompts alter the intended robot policy and induce unsafe physical behavior.)",1,1,심각도 4.00 확률 0.50 A Comprehensive Survey on Physical Risk Control in…
PHYSBENCH-REF-0049,P2,Physical Safety,P3.1,의도적·악의적 피해(Purposeful / Malicious Harm),명시적 위험 명령 거부 실패 (Explicit hazard non-rejection),embodied 에이전트가 명확히 진술된 피지컬 위험 지시를 거부하지 못하고 비안전 작업 실행 방향으로 나아가는 실패. (An embodied agent fails to reject a clearly stated physical hazard instruction and proceeds toward unsafe task execution.),2,2,심각도 4.10 확률 0.50 SafeAgentBench: A Benchmark for Safe Task Planning…
